,input,output
220,it was just the culture of the industry that kept it from happening .,it was
221,"based on 1988 sales , georgia-pacific ranked third at $ 9.51 billion , behind weyerhaeuser co. at $ 10 billion and international paper co. at $ 9.53 billion .",georgia-pacific ranked
222,nekoosa ranked 11th with sales of $ 3.59 billion .,nekoosa ranked
223,"and georgia-pacific could save money in selling pulp , because the company uses its own sales organization while nekoosa employs higher-cost agents .",georgia-pacific save
224,"but he said that even under those conditions , the company still would realize a savings of tens of millions of dollars in the first year following a merger .",he said
225,"georgia-pacific owns 349,900 nekoosa shares and would need federal antitrust clearance to buy more than $ 15 million worth .",georgia-pacific owns
226,"nekoosa also is being advised by goldman , sachs & co .",nekoosa advised
227,"in addition to the usual array of defenses , including a so-called poison pill and a staggered board , nekoosa has another takeover defense : a maine state law barring hostile bidders from merging acquired businesses for five years .",nekoosa has
228,nekoosa is incorporated in maine .,nekoosa incorporated
229,"investors were quick to spot other potential takeover candidates , all of which have strong cash flows and low-cost operations .",investors were
230,some predicted that nekoosa will end up being owned by a japanese company .,nekoosa end
231,"despite the big increases in health-care costs , wages still account for a far greater share of overall labor costs .",wages account
232,it also found them rising much more in the northeast than elsewhere .,it found
233,it rose 4.8 % for the 12 months ended in june and 4.7 % in the 12 months ended in september 1988 .,it rose
234,stateswest had proposed acquiring mesa for $ 7 a share and one share of a new series of stateswest 6 % convertible preferred stock it values at $ 3 a share .,stateswest proposed
235,"stateswest serves 10 cities in california , arizona and nevada .",stateswest serves
236,"mesa flies to 42 cities in new mexico , arizona , wyoming , colorado and texas .",mesa flies
237,analysts said the offer for great northern nekoosa broke the pall that settled over the takeover business for the past three weeks in the wake of the collapsed ual corp . buy-out .,analysts said
238,that indicates speculators are betting a higher offer is in the wings .,that indicates
239,"if the national survey confirms a pickup in the manufacturing sector , it could further depress bond prices while bolstering stock prices and the dollar .",it depress
240,revenue rose 21 % to 22.61 billion francs from 18.69 billion francs .,revenue rose
241,"for all of 1988 , bouygues had consolidated profit of 519 million francs , after payments to minority interests , on revenue of 50 billion francs .",bouygues had
242,"coast earned $ 10.2 million , or 67 cents a share , in the year-ago quarter .",coast earned
243,"it includes removing $ 242 million in good will from the books , issuing $ 150 million in preferred stock and commencing an exchange offer for $ 52 million in convertible bonds .",it includes
244,"these include trying to protect its print advertising by invoking the first amendment , and wooing blacks by portraying itself as a protector of civil rights .",these include
245,microsoft added 2 1/8 to 81 3/4 and oracle systems rose 1 1/2 to 23 1/4 .,microsoft added
246,intel was up 1 3/8 to 33 3/4 .,intel was
247,"microsoft is up more than 50 % this year , while intel is up more than 40 % .",microsoft is
248,"he said that investors will scour the october employment report , due out friday , for clues about the direction of the economy and the immediate outlook for interest rates .",he said
249,"jaguar topped the most-active list , as its american depository receipts climbed 1 3/4 to 13 5/8 with more than 6.6 million adrs traded .",jaguar topped
250,gen-probe was another active takeover stock .,gen-probe was
251,"monday , mci announced a $ 27 million multiyear contract with the investment bank stuart-james .",mci announced
252,"yesterday , it received a $ 15 million , three-year contract from drexel burnham lambert .",it received
253,that was another reason the street loved santa fe .,that was
254,that nets out to about $ 17 a share for the company on a private market basis .,that nets
255,but it appears to be the sort of hold one makes while heading for the door .,it appears
256,orkem said it eventually would seek to make a public share offering in its u.k. business .,orkem said
257,"marks declared an interim per-share dividend of 1.85 pence , compared with 1.7 pence a year earlier .",marks declared
258,"sales increased 11 % to # 2.5 billion from # 2.25 billion , while operating profit climbed 13 % to # 225.7 million from # 199.8 million .",sales increased
259,"in an interview , he said federal regulators eventually declared one of the loans the state regulator cited to be a total loss , and forced lincoln to make an $ 18 million downward adjustment on another .",he said
260,it is widely expected that they will .,it expected
261,"ltv confirmed the price-increase plan , saying the move is designed to more accurately reflect the value of products and to put steel on more equal footing with other commodities .",ltv confirmed
262,"at the same time , steelmakers are trying to invest more to modernize technology and make themselves more competitive .",steelmakers trying
263,but analysts say the company is also trying to prevent further price drops .,analysts say
264,"and while customers such as steel service centers are continuing to reduce inventories through the fourth quarter , they eventually will begin stocking up again , he notes .",he notes
265,"steelmakers announced a round of base-price increases last year , but began offering sizable discounts over the summer .",steelmakers announced
266,"in fact , ltv was the first steelmaker to publicly boost discounts for buyers of cold rolled sheet steel and hot-dipped galvanized sheet steel .",ltv was
267,"earlier this year , penney abandoned another home shopping venture , telaction corp. , after investing $ 106 million in it .",penney abandoned
268,"with $ 500 apiece and an injection of outside capital , they formed genentech inc .",they formed
269,"at the time , genentech had only one profitable year behind it ( a modest $ 116,000 on revenue of $ 2.6 million in 1979 ) and no product of its own on the market .",genentech had
270,"unocal said the venture would enable it to recover more of its refining and marketing investment and prepare for expected growth in exploration , production , chemicals and other areas .",unocal said
271,it said financing would consist of $ 250 million from a private placement obtained through shearson lehman hutton inc. and a $ 150 million revolving credit line underwritten by chase manhattan bank .,it said
272,"it said the venture , expected to take control of the facilities dec. 1 , would also serve another 3,300 independent unocal gasoline stations .",it said
273,"encouraged by the brisk performance , mitsubishi plans to raise its per-share dividend to 3.50 yen from three yen .",mitsubishi plans
274,"democrats want the tax provision to be a separate bill , subject to the usual procedural obstacles .",democrats want
275,democrats want to avoid having to make that choice by making the capital-gains tax cut an individual bill .,democrats want
276,"to avoid default , lawmakers must pass legislation raising the limit to $ 3.12 trillion from $ 2.80 trillion by next wednesday , according to the treasury .",lawmakers pass
277,"trading was moderate , with 176,100,000 shares changing hands on the new york stock exchange .",trading was
278,traders said the buy programs came from very large institutional accounts that were also active in the stock-index futures markets .,traders said
279,"with stocks having been battered lately because of the collapse of takeover offers for ual , the parent company of united airlines , and amr , the parent of american airlines , analysts viewed the proposal as a psychological lift for the market .",analysts viewed
280,"georgia-pacific fell 2 1/2 to 50 7/8 , but most paper and forest-products stocks firmed as market players speculated about other potential industry takeover targets .",georgia-pacific fell
281,"pennzoil is rumored to be accumulating a stake in chevron in order to push for a revamping of the company ; investor carl icahn has recently increased his stake in usx , which separately reported earnings that were in line with expectations .",pennzoil rumored
282,bankamerica climbed 1 3/4 to 30 after painewebber boosted its investment opinion on the stock to its highest rating .,bankamerica climbed
283,armstrong added 1/8 to 39 1/8 .,armstrong added
284,ogden gained 1 1/4 to 32 7/8 .,ogden gained
285,"volume totaled 11,820,000 shares .",volume totaled
286,cilcorp said the businesses to be acquired had revenue of $ 76 million for the year ended march 31 .,cilcorp said
287,"he begins his seven-year term nov. 9 , succeeding kenan evren .",he begins
288,revenue soared to $ 101.7 million from $ 39.5 million .,revenue soared
289,revenue rose 33 % to $ 378.1 million from $ 283.8 million .,revenue rose
290,but he has been getting heat from all sides over program trading .,he getting
291,"computers have made trading more rapid , but that can be fixed with some fine-tuning .",computers made
292,miniscribe reported a negative net worth and hinted it may file for chapter 11 .,miniscribe reported
293,the contraction was twice as large as economists projected and was the sharpest decline since a 19 % drop in january 1982 .,economists projected
294,"in october 1979 , just days before the federal reserve raised interest rates , ibm offered $ 1 billion in debt securities .",ibm offered
295,others said ibm might increase the size of the offering to as much as $ 1 billion if investor demand is strong .,others said
296,but it may lead to separate financial reports based on different rules for the government entities under fasb rules and those still under gasb rules .,it lead
297,it valued the transaction at $ 800 million .,it valued
298,"after fees and repayment of debt , avery is left with about $ 24 million in cash and securities from the uniroyal sale .",avery left
299,"uniroyal has 2,600 employees and facilities in the u.s. , canada , brazil , italy and taiwan .",uniroyal has
300,clarcor said it is inviting proposals from other prospective purchasers of the unit .,clarcor said
301,they said they wanted to wait for the outcome of any government investigation before deciding what to do .,they said
302,"utilities are a classic example : even in recessions , people continue to use electric power , water and gas at a fairly steady rate .",utilities are
303,"if gold stocks and utilities continue to lead , it may signal that the market is in for rough times .",it signal
304,one reason for his gloom is a weekly tally he keeps of stocks within a point of hitting new highs or lows .,he keeps
305,"he favors fpl group inc. , florida progress corp. , teco energy inc. , wisconsin energy corp. , and dominion resources inc .",he favors
306,"among utilities , drexel currently favors entergy corp. and general public utilities corp .",drexel favors
307,"as for gold , she notes that it usually rises when the dollar is weak , as it has been lately .",she notes
308,"among gold stocks , drexel likes battle mountain gold co. , newmont gold co. and freeport-mcmoran gold co .",drexel likes
309,crises larger and more dangerous to the quality of life than they were 10 years ago .,they were
310,"in my research , i have found a paper by joseph scotto of the national cancer institute and several colleagues reporting an 11-year decrease in uv-b radiation at eight u.s. measurement sites .",i found
311,but this is almost an underground activity .,this is
312,"while recognizing that professional environmentalists may feel threatened , i intend to urge that uv-b be monitored whenever i can .",i intend
313,"he is a mechanical engineer , not an atmospheric chemist .",he is
314,miniscribe has said that its financial results for the past three fiscal years would have to be restated because of the allegedly fraudulent accounting and marketing practices that inflated revenues and net income .,miniscribe said
315,he said he expects the company to have $ 500 million in sales for this year .,he said
316,"although it is not the first company to produce the thinner drives , which store information in personal computers , miniscribe says it is the first with an 80-megabyte drive ; the company plans to introduce a 120-megabyte drive next year .",miniscribe says
317,others pointed out that at least four other disk-drive makers will have competitive one-inch drives early next year and that the industry already operates on very thin margins .,others pointed
318,he added that he expects to make a recommendation within a few weeks on whether miniscribe should file its own lawsuits against former company officers and directors .,he added
