,input,output
108,is poland the second communist nation to recognize the seoul government ; established diplomatic relations south korea with hungary in february 1989 .,poland is
45,"raised financing of 300 billion lire it for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by selling a chunk of its ifi shares to mediobanca s.p . a.",it raised
438,just last year started selling its first machine that could run in both japanese and english and that substantially enhances compatibility with its american products ibm .,ibm started
21,also reported a 2.6 % decline in its raw-materials price index for september it .,it reported
367,but earn more survivors .,survivors earn
96,compares that with 3.5 % butterfat for whole milk .,that compares
233,"serves 10 cities in california , arizona and nevada stateswest .",stateswest serves
428,analyze the data others .,others analyze
118,"is this corporate glasnost a big reason , after years of making lackluster cars and lousy profits , has loosened up its rigid ways nissan and now is riding a string of hits , ranging from the sleek maxima sedan and porsche-like 300zx to the whimsically nostalgic pao , a minicar sold only in japan .",nissan loosened
124,"in compact and subcompact cars , the bread-and-butter sales generators for japanese auto makers , still trails toyota and honda nissan .",nissan trails
191,"with such a lopsided book of options , say traders , was chemical more vulnerable to erroneous valuation assumptions .",traders say
374,"say however that would have to be accompanied by measures to shield the poor from its recessionary effects , for instance by subsidizing staple food items a tough economic program analysts , , .",analysts say
492,"also publishes a second tabloid in montreal , the struggling 18-month-old montreal daily news ; dailies in quebec city and winnipeg , manitoba ; and dozens of weeklies covering most of quebec quebecor .",quebecor publishes
311,has said that would have to be restated because of the allegedly fraudulent accounting and marketing practices inflated revenues and net income that its financial results for the past three fiscal years miniscribe .,miniscribe said
451,makes the tracer mazda for ford .,mazda makes
353,"and , despite its image as a technology superpower , has a lot of weaknesses japan .",japan has
238,"if confirms a pickup in the manufacturing sector the national survey , could further depress bond prices it while bolstering stock prices and the dollar .",it depress
322,"said believes will supply about half of the financing the bank loan , to be arranged by february , he he .",he said
46,"and treats such activities it in a frivolous , cavalier fashion , with total indifference to common sense and public safety .",it treats
403,"has also launched a $ 1 billion cost-cutting program that will cut about 2,300 white-collar workers from the payroll in the next few months chrysler .",chrysler launched
221,"and could save money georgia-pacific in selling pulp , because uses its own sales organization the company while employs higher-cost agents nekoosa .",georgia-pacific save
76,"serves commercial and government customers , including the national institutes of health mason .",mason serves
1,"felt it more like a party , or a highly polished jam session with a few friends , than a classical concert .",it felt
213,said will employ 500 of the existing 600 employees the new facility he .,he said
325,was also down substantially from 840.8 million shares on friday turnover .,turnover was
418,"is it possible that , in perpetuating such myths , is being laid the ground for the arrest of opposition activists on the ground of terrorism .",it is
102,then would move his movement he to europe .,he move
363,hit three years ago the lanes he on the advice of his doctor .,he hit
170,can apply researchers for permission to use the probes for brain studies .,researchers apply
343,could mean diminished issuance of derivative mortgage issues during the next few weeks this .,this mean
144,"after a flat second quarter tied largely to lower newsprint earnings , attributed the gain kimberly-clark to improved results in its consumer businesses in north america , brazil and korea .",kimberly-clark attributed
132,"had record net income of 114.63 billion yen ( $ 868 million ) in the fiscal year ended last march 31 , a remarkable recovery from the 20.39 billion yen of two years earlier , when lost money the company on operations nissan .",nissan had
12,"midmorning , dons an orange-and-blue uniform he and , for fun , may field a bunt from dave kingman .",he dons
327,"were prices up across the board , with registering solid gains most blue-chip stocks .",prices were
173,"pay interest they only for 115 months , with principal payments beginning thereafter .",they pay
224,"also is being advised nekoosa by goldman , sachs & co .",nekoosa advised
342,"although held the notes at a price of 92 to 93 immediately after the reset , started falling soon afterward they .",they started
78,has found another safe outlet for its money : u.s. home mortgages japan .,japan found
276,said came the buy programs from very large institutional accounts that were also active in the stock-index futures markets traders .,traders said
387,keep wondering what wanted to say mr. gates we .,we keep
425,but also offers opportunities it ; are well poised to supply the weapons americans .,it offers
301,"among utilities , currently favors entergy corp. and general public utilities corp drexel .",drexel favors
196,appears that is how to enlarge its control of the honey pot going to special interests the only thing is learning congress from the hud story it .,it appears
10,"said is experimenting the company with the technique on alfalfa , and plans to include cotton and corn , among other crops he .",he said
469,"but may prefer using a profile that targets selected transactions , rather than a blanket reporting requirement banks .",banks prefer
271,"amounted climbing 29 % from 787.02 billion yen sales to 1.011 trillion yen , .",sales amounted
75,"is mason the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees .",mason is
142,is it amazing that do not weight more heavily the ensuing mass executions in vietnam and cambodia on minds so morally fine-tuned .,it is
65,"a year earlier earned $ 2.4 million , or 24 cents a share adjusted for the split unifirst .",unifirst earned
340,said ended 1/2 point higher most municipal bonds traders .,traders said
484,"began uncovering a confusing variety of genetic deletions , some existing only in benign polyps , others in malignant cells and many in both polyps and malignant cells they .",they began
175,"ranks japan as only the fourth largest foreign investor in mexico , with 5 % of the total investments .",japan ranks
362,but at least show up they .,they show
264,"in fact , was ltv the first steelmaker to publicly boost discounts for buyers of cold rolled sheet steel and hot-dipped galvanized sheet steel .",ltv was
100,but there are limits .,limits are
491,late yesterday announced a $ 3.8 million stock buy-back program michael .,michael announced
295,"has 2,600 employees and facilities uniroyal in the u.s. , canada , brazil , italy and taiwan .",uniroyal has
300,"if continue to lead gold stocks and utilities , may signal that is the market in for rough times it .",it signal
235,said broke the pall that settled over the takeover business for the past three weeks in the wake of the collapsed ual corp . buy-out the offer for great northern nekoosa analysts .,analysts said
475,is that for the future .,that is
219,"based on 1988 sales , ranked third georgia-pacific at $ 9.51 billion , behind weyerhaeuser co. at $ 10 billion and international paper co. at $ 9.53 billion .",georgia-pacific ranked
330,ended 22 higher jaguar at 747 .,jaguar ended
326,"said was supported the market to some extent by a firmer pound , gains on wall street and shopping by market-makers to cover internal requirements for selected stocks in the 100-share index dealers .",dealers said
421,"had gone a full seven games the contest , could have reaped an extra $ 10 million in ad sales abc on the seventh game alone , compared with the ad take would have received it for regular prime-time shows .",abc reaped
157,"as a consultant , has given seminars he at agencies including ogilvy & mather on how to win new business .",he given
348,agreed then to fund certain associated research and development costs chugai .,chugai agreed
54,"yesterday , announced an agreement to sell its small applied color systems unit to a subsidiary of the swiss company , brauerei eichof ltd armstrong .",armstrong announced
220,ranked 11th nekoosa with sales of $ 3.59 billion .,nekoosa ranked
402,"already has closed the kenosha , wis. , plant acquired it when bought american motors corp. it in 1987 chrysler .",chrysler closed
379,suspended its common distribution nrm in june 1988 and the distribution on its $ 2 cumulative convertible acquisition preferred units in september .,nrm suspended
200,"of course , is self-reform about the last thing is this congress interested in .",self-reform is
179,"pressed on the matter , is he more specific .",he is
372,"might have been considered not long ago hyperinflation that , but endured price increases of almost 200 % argentina in july before bringing down sharply the rate in august and september .",that considered
56,"include new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods these .",these include
440,is timing of the essence with ru-486 .,timing is
60,some nights slept he under his desk .,he slept
208,"is labor upset because are using higher employee insurance premiums , deductibles and co-payments many companies to deflect surging medical costs to workers .",labor is
