,input,output,possible_outputs
617,Sentence 1: Strike coins. Sentence 2: The thought struck terror in our minds. Word: strike,not the same,"['not the same', 'no', 'false']"
2841,Sentence 1: Use your common sense. Sentence 2: I can't use this tool. Word: use,not the same,"['not the same', 'no', 'false']"
98,Sentence 1: It takes time to learn the setup around here. Sentence 2: The laboratory included an elaborate setup for measuring the energy. Word: setup,not the same,"['not the same', 'no', 'false']"
2630,Sentence 1: The film is set in Africa. Sentence 2: Set the tray down. Word: set,not the same,"['not the same', 'no', 'false']"
14,Sentence 1: Under the head of minor Roman poets. Sentence 2: They tracked him back toward the head of the stream. Word: head,not the same,"['not the same', 'no', 'false']"
3505,Sentence 1: Play the stock market. Sentence 2: Play with her feelings. Word: play,same,"['same', 'yes', 'true']"
1543,Sentence 1: He played catch with his son in the backyard. Sentence 2: The kids love to play catch. Word: catch,same,"['same', 'yes', 'true']"
3130,Sentence 1: A hurl of abuse. Sentence 2: He managed a hurl of 50.3 metres. Word: hurl,same,"['same', 'yes', 'true']"
3513,Sentence 1: Close with the enemy. Sentence 2: Close the door. Word: close,not the same,"['not the same', 'no', 'false']"
343,Sentence 1: We should go farther in this matter. Sentence 2: The day went well until I got your call. Word: go,not the same,"['not the same', 'no', 'false']"
828,Sentence 1: Choke a carburetor. Sentence 2: The pirate choked the sailor to death. Word: choke,not the same,"['not the same', 'no', 'false']"
1437,Sentence 1: Ears open to catch every sound. Sentence 2: I caught the aroma of coffee. Word: catch,same,"['same', 'yes', 'true']"
3401,Sentence 1: Propagate sound or light through air. Sentence 2: Sound and light propagate in this medium. Word: propagate,not the same,"['not the same', 'no', 'false']"
29,Sentence 1: A riding academy. Sentence 2: Academies of literature and philology. Word: academy,not the same,"['not the same', 'no', 'false']"
940,Sentence 1: Infection can cause a lupus flare. Sentence 2: A colitis flare. Word: flare,same,"['same', 'yes', 'true']"
3220,Sentence 1: This is a product of lime and nitric acid. Sentence 2: Skill is the product of hours of practice. Word: product,not the same,"['not the same', 'no', 'false']"
1849,Sentence 1: A novel application of electronics to medical diagnosis. Sentence 2: December 31 is the deadline for applications. Word: application,not the same,"['not the same', 'no', 'false']"
88,Sentence 1: Can you work an electric drill? Sentence 2: Work the metal into a sword. Word: work,not the same,"['not the same', 'no', 'false']"
935,Sentence 1: Make lead into gold. Sentence 2: We barely made the plane. Word: make,not the same,"['not the same', 'no', 'false']"
2893,Sentence 1: Make clay into bricks. Sentence 2: Make lead into gold. Word: make,same,"['same', 'yes', 'true']"
1279,Sentence 1: Corruption of a minor. Sentence 2: The luxury and corruption among the upper classes. Word: corruption,not the same,"['not the same', 'no', 'false']"
2752,Sentence 1: They serve a restricted role on the bench. Sentence 2: She served in Congress for two terms. Word: serve,not the same,"['not the same', 'no', 'false']"
2285,Sentence 1: Capture the essence of Spring. Sentence 2: She captured all the men's hearts. Word: capture,not the same,"['not the same', 'no', 'false']"
562,Sentence 1: A small mom-and-pop business. Sentence 2: A racially integrated business concern. Word: business,same,"['same', 'yes', 'true']"
561,Sentence 1: A sudden recognition of the problem he faced. Sentence 2: Give her recognition for trying. Word: recognition,not the same,"['not the same', 'no', 'false']"
2108,Sentence 1: There is no use for your invention. Sentence 2: He warned against the use of narcotic drugs. Word: use,same,"['same', 'yes', 'true']"
523,Sentence 1: Cut my hair. Sentence 2: Cut the engine. Word: cut,not the same,"['not the same', 'no', 'false']"
3142,Sentence 1: The cognitive operation of remembering. Sentence 2: A multinational operation. Word: operation,not the same,"['not the same', 'no', 'false']"
1080,Sentence 1: Carry the suitcases to the car. Sentence 2: These pipes carry waste water into the river. Word: carry,same,"['same', 'yes', 'true']"
3588,Sentence 1: I'll offset the time difference locally. Sentence 2: To offset one charge against another. Word: offset,same,"['same', 'yes', 'true']"
880,Sentence 1: A leak in a roof. Sentence 2: He had to clean up the leak. Word: leak,same,"['same', 'yes', 'true']"
3959,Sentence 1: He operated a bank of switches. Sentence 2: A huge bank of earth. Word: bank,not the same,"['not the same', 'no', 'false']"
1112,Sentence 1: Spray paint on the wall. Sentence 2: Spray water on someone. Word: spray,same,"['same', 'yes', 'true']"
1963,Sentence 1: Please focus on your studies and not on your hobbies. Sentence 2: Focus on passing the test. Word: focus,same,"['same', 'yes', 'true']"
3759,Sentence 1: Drive the cows into the barn. Sentence 2: Drive the ball far out into the field. Word: drive,not the same,"['not the same', 'no', 'false']"
2322,Sentence 1: He's a meticulous dresser. Sentence 2: She's an elegant dresser. Word: dresser,same,"['same', 'yes', 'true']"
33,Sentence 1: A bald spot. Sentence 2: A leopard's spots. Word: spot,same,"['same', 'yes', 'true']"
444,Sentence 1: Let's not quibble over pennies. Sentence 2: They are constantly quibbling over insignificant details. Word: quibble,same,"['same', 'yes', 'true']"
1199,Sentence 1: I want to see whether she speaks French. Sentence 2: Could you see about lunch? Word: see,not the same,"['not the same', 'no', 'false']"
3601,Sentence 1: We should make Cincinnati by 7 tonight. Sentence 2: She was made president of the club. Word: make,not the same,"['not the same', 'no', 'false']"
1349,Sentence 1: The incarnation is a basic doctrine of classical Christianity. Sentence 2: The four noble truths summarise the main doctrines of Buddhism. Word: doctrine,same,"['same', 'yes', 'true']"
751,Sentence 1: A procession of mourners. Sentence 2: Processions were forbidden. Word: procession,same,"['same', 'yes', 'true']"
2570,Sentence 1: Prepare a report. Sentence 2: The prince was prepared to become King one day. Word: prepare,not the same,"['not the same', 'no', 'false']"
2819,Sentence 1: Toe the line. Sentence 2: They attacked the enemy's line. Word: line,not the same,"['not the same', 'no', 'false']"
3474,Sentence 1: I spread the rice grains evenly over the floor. Sentence 2: He spread fertilizer over the lawn. Word: spread,same,"['same', 'yes', 'true']"
1966,Sentence 1: Turn your palm this way. Sentence 2: The company turned a good profit after a year. Word: turn,not the same,"['not the same', 'no', 'false']"
1920,Sentence 1: Perversion also shows up in kinky telephone cords. Sentence 2: The tendrils of the plant exhibited perversion. Word: perversion,same,"['same', 'yes', 'true']"
1907,Sentence 1: Break a circuit. Sentence 2: Break a promise. Word: break,not the same,"['not the same', 'no', 'false']"
3960,Sentence 1: The heart and soul of the Republican Party. Sentence 2: They ran forward into the heart of the struggle. Word: heart,not the same,"['not the same', 'no', 'false']"
2781,Sentence 1: Stream of consciousness. Sentence 2: A stream of people emptied from the terminal. Word: stream,not the same,"['not the same', 'no', 'false']"
1779,Sentence 1: Deep in her breast lives the silent wound. Sentence 2: He feared that mentioning it might reopen the wound. Word: wound,same,"['same', 'yes', 'true']"
836,Sentence 1: He came to a bad end. Sentence 2: One end of the box was marked 'This side up'. Word: end,not the same,"['not the same', 'no', 'false']"
960,Sentence 1: He looked around for the source of the disturbance. Sentence 2: There was a disturbance of neural function. Word: disturbance,same,"['same', 'yes', 'true']"
3856,Sentence 1: To hold true. Sentence 2: Hold that position behind the trees! Word: hold,not the same,"['not the same', 'no', 'false']"
3919,Sentence 1: The movie demanded a dramatic canvas of sound. Sentence 2: The boxer picked himself up off the canvas. Word: canvas,not the same,"['not the same', 'no', 'false']"
1980,Sentence 1: He had a great feeling for music. Sentence 2: The house gave me a feeling of dread. Word: feeling,not the same,"['not the same', 'no', 'false']"
3055,Sentence 1: Let's play like I am mommy. Sentence 2: Play cowboy and Indians. Word: play,same,"['same', 'yes', 'true']"
1108,Sentence 1: The boat beat in the strong wind. Sentence 2: Beat the subway fare. Word: beat,not the same,"['not the same', 'no', 'false']"
2376,Sentence 1: Give one's opinion. Sentence 2: Give an excuse. Word: give,same,"['same', 'yes', 'true']"
3465,Sentence 1: Hold one's nose. Sentence 2: I hold with those who say life is sacred. Word: hold,not the same,"['not the same', 'no', 'false']"
1074,Sentence 1: The reflex motion of his eyebrows revealed his surprise. Sentence 2: He made a motion to adjourn. Word: motion,not the same,"['not the same', 'no', 'false']"
3457,"Sentence 1: Think thin. Sentence 2: Idly, the detective thought what his next move should be. Word: think",same,"['same', 'yes', 'true']"
515,Sentence 1: Dress a turkey. Sentence 2: Dress the surface smooth. Word: dress,not the same,"['not the same', 'no', 'false']"
3602,Sentence 1: I shall be writing to you soon. Sentence 2: There were two hundred people at his funeral. Word: be,same,"['same', 'yes', 'true']"
2805,Sentence 1: Turn a key. Sentence 2: Turn the clay on the wheel. Word: turn,not the same,"['not the same', 'no', 'false']"
2479,Sentence 1: Work the raisins into the dough. Sentence 2: Do you want to work after the age of 60? Word: work,not the same,"['not the same', 'no', 'false']"
91,Sentence 1: The pull of the moon. Sentence 2: Iron fillings drawn by the pull of a magnet. Word: pull,same,"['same', 'yes', 'true']"
974,Sentence 1: Could you develop the ideas in your thesis. Sentence 2: Spassky developed quickly. Word: develop,not the same,"['not the same', 'no', 'false']"
596,Sentence 1: There was a small opening between the trees. Sentence 2: A salamander darted out of an opening in the rocks. Word: opening,same,"['same', 'yes', 'true']"
3443,Sentence 1: The pilot had to bank the aircraft. Sentence 2: Bank a fire. Word: bank,not the same,"['not the same', 'no', 'false']"
4007,Sentence 1: Answer the telephone. Sentence 2: Answer the door. Word: answer,same,"['same', 'yes', 'true']"
3064,Sentence 1: Who's got dibs on the chips? Sentence 2: I have dibs on that last slice of pizza. Word: dibs,same,"['same', 'yes', 'true']"
3156,Sentence 1: A ball of fire. Sentence 2: A ball of twine. Word: ball,same,"['same', 'yes', 'true']"
1045,Sentence 1: Beat the egg whites. Sentence 2: Reading beats watching television. Word: beat,not the same,"['not the same', 'no', 'false']"
2075,Sentence 1: The wire has an extension of 50 feet. Sentence 2: Extension of the program to all in need. Word: extension,not the same,"['not the same', 'no', 'false']"
3492,Sentence 1: Please focus on your studies and not on your hobbies. Sentence 2: We focused on reading the book. Word: focus,same,"['same', 'yes', 'true']"
969,Sentence 1: Pittsburgh is the source of the Ohio River. Sentence 2: He spent hours looking for the source of that quotation. Word: source,not the same,"['not the same', 'no', 'false']"
