,input,output
210,"labor is upset because many companies higher employee insurance premiums , deductibles and co-payments are using surging medical costs to deflect to workers .",labor is
211,he that government an even worse job of its health bill controlling than business has done asserts .,he asserts
212,"congress the unpopular catastrophic care act of 1988 , which benefits for the elderly boosted and them taxed to pay for the new coverage to dismantle still is struggling .",congress struggling
213,it to report next summer is expected .,it expected
214,advocates that such standards treatment will improve while unnecessary tests and medical procedures limiting hope .,advocates hope
215,he the new facility 500 of the existing 600 employees will employ said .,he said
216,"stelco it an option a 350,000-square-foot building in brantford to lease has and 24.5 million canadian dollars ( us$ 20.9 million ) to spend on the facility proposes said .",stelco said
217,"terms call for first security about 0.55 share of its stock for each deseret share held , or a total of about 550,000 first security shares to issue .",terms call
218,it about 12.3 million shares outstanding has .,it has
219,"georgia-pacific closed down $ 2.50 , at $ 50.875 in big board trading .",georgia-pacific closed
220,it was just the culture of the industry that it kept from happening .,it was
221,"based on 1988 sales , georgia-pacific ranked third at $ 9.51 billion , behind weyerhaeuser co. at $ 10 billion and international paper co. at $ 9.53 billion .",georgia-pacific ranked
222,nekoosa ranked 11th with sales of $ 3.59 billion .,nekoosa ranked
223,"and georgia-pacific money could save in pulp selling , because the company its own sales organization uses while nekoosa higher-cost agents employs .",georgia-pacific save
224,"but he that even under those conditions , the company a savings of tens of millions of dollars still would realize in the first year following a merger said .",he said
225,"georgia-pacific 349,900 nekoosa shares owns and federal antitrust clearance would need more than $ 15 million worth to buy .",georgia-pacific owns
226,"nekoosa also is being advised by goldman , sachs & co .",nekoosa advised
227,"in addition to the usual array of defenses , including a so-called poison pill and a staggered board , nekoosa another takeover defense : a maine state law hostile bidders barring from acquired businesses merging for five years has .",nekoosa has
228,nekoosa is incorporated in maine .,nekoosa incorporated
229,"investors were quick other potential takeover candidates , all of which strong cash flows and low-cost operations have to spot .",investors were
230,some that nekoosa being owned by a japanese company will end up predicted .,nekoosa end
231,"despite the big increases in health-care costs , wages still account for a far greater share of overall labor costs .",wages account
232,it also found them rising much more in the northeast than elsewhere .,it found
233,it 4.8 % rose for the 12 months ended in june and 4.7 % in the 12 months ended in september 1988 .,it rose
234,stateswest mesa acquiring for $ 7 a share and one share of a new series of stateswest 6 % convertible preferred stock it values at $ 3 a share had proposed .,stateswest proposed
235,"stateswest 10 cities in california , arizona and nevada serves .",stateswest serves
236,"mesa flies to 42 cities in new mexico , arizona , wyoming , colorado and texas .",mesa flies
237,analysts the offer for great northern nekoosa the pall that settled over the takeover business for the past three weeks in the wake of the collapsed ual corp . buy-out broke said .,analysts said
238,that speculators a higher offer is in the wings are betting indicates .,that indicates
239,"if the national survey a pickup in the manufacturing sector confirms , it bond prices could further depress while stock prices and the dollar bolstering .",it depress
240,revenue 21 % rose to 22.61 billion francs from 18.69 billion francs .,revenue rose
241,"for all of 1988 , bouygues consolidated profit of 519 million francs had , after payments to minority interests , on revenue of 50 billion francs .",bouygues had
242,"coast $ 10.2 million , or 67 cents a share earned , in the year-ago quarter .",coast earned
243,"it $ 242 million in good will removing from the books , $ 150 million in preferred stock issuing and an exchange offer for $ 52 million in convertible bonds commencing includes .",it includes
244,"these its print advertising to protect by the first amendment invoking trying , and blacks wooing by itself portraying as a protector of civil rights include .",these include
245,microsoft 2 1/8 added to 81 3/4 and oracle systems 1 1/2 rose to 23 1/4 .,microsoft added
246,intel was up 1 3/8 to 33 3/4 .,intel was
247,"microsoft is up more than 50 % this year , while intel is up more than 40 % .",microsoft is
248,"he that investors the october employment report , due out friday , will scour for clues about the direction of the economy and the immediate outlook for interest rates said .",he said
249,"jaguar the most-active list topped , as its american depository receipts 1 3/4 climbed to 13 5/8 with more than 6.6 million adrs traded .",jaguar topped
250,gen-probe was another active takeover stock .,gen-probe was
251,"monday , mci a $ 27 million multiyear contract with the investment bank stuart-james announced .",mci announced
252,"yesterday , it a $ 15 million , three-year contract received from drexel burnham lambert .",it received
253,"but , it turns out , value what a buyer will pay is only .",value is
254,but it to be the sort of hold one makes while heading for the door appears .,it appears
255,orkem it a public share offering in its u.k. business to make eventually would seek said .,orkem said
256,"intelogic was spun off four years ago from datapoint , after mr. edelman control of datapoint shortly took .",intelogic spun
257,"sales 11 % increased to # 2.5 billion from # 2.25 billion , while operating profit 13 % climbed to # 225.7 million from # 199.8 million .",sales increased
258,"in an interview , he federal regulators one of the loans the state regulator cited to be a total loss eventually declared , and lincoln an $ 18 million downward adjustment on another to make forced said .",he said
259,it that they will is widely expected .,it expected
260,"ltv the price-increase plan confirmed , the move the value of products to more accurately reflect and steel to put on more equal footing with other commodities is designed saying .",ltv confirmed
261,"at the same time , steelmakers more to invest technology to modernize and themselves more competitive make are trying .",steelmakers trying
262,but analysts the company further price drops to prevent is also trying say .,analysts say
263,"and while customers such as steel service centers inventories to reduce are continuing through the fourth quarter , they stocking up again eventually will begin , he notes .",he notes
264,"steelmakers a round of base-price increases announced last year , but sizable discounts offering over the summer began .",steelmakers announced
265,"in fact , ltv was the first steelmaker discounts for buyers of cold rolled sheet steel and hot-dipped galvanized sheet steel to publicly boost .",ltv was
266,"earlier this year , penney another home shopping venture , telaction corp. , abandoned after $ 106 million investing in it .",penney abandoned
267,"boyer robert swanson , an m.i.t.-trained chemist-turned-entrepreneur when met in 1976 , they dollar signs saw .",they saw
268,"the next to be cloned , human insulin , market potential had and genentech to eli lilly , which 80 % of the insulin used by 1.5 million u.s. diabetics produced it licensed .",genentech licensed
269,now gene-splicing is an integral part of the drug business .,gene-splicing is
270,it financing would consist of $ 250 million from a private placement obtained through shearson lehman hutton inc. and a $ 150 million revolving credit line underwritten by chase manhattan bank said .,it said
271,"it the venture , control to take of the facilities dec. 1 expected , another 3,300 independent unocal gasoline stations would also serve said .",it said
272,"sales 29 % climbing from 787.02 billion yen amounted to 1.011 trillion yen , .",sales amounted
273,"democrats the tax provision to be a separate bill , subject to the usual procedural obstacles want .",democrats want
274,"republicans a capital-gains provision to attach to that legislation the political popularity of its other two parts democrats would dissuade from it blocking hoping would try , .",republicans try
275,"default to avoid , lawmakers legislation the limit raising to $ 3.12 trillion from $ 2.80 trillion must pass by next wednesday , according to the treasury .",lawmakers pass
276,traders the buy programs came from very large institutional accounts that were also active in the stock-index futures markets said .,traders said
277,"with stocks having been battered lately because of the collapse of takeover offers for ual , the parent company of united airlines , and amr , the parent of american airlines , analysts the proposal viewed as a psychological lift for the market .",analysts viewed
278,"georgia-pacific 2 1/2 fell to 50 7/8 , but most paper and forest-products stocks firmed as market players speculated about other potential industry takeover targets .",georgia-pacific fell
279,"within the paper sector , mead 2 3/8 union camp 2 3/4 rose to 37 3/4 federal paper board 1 3/4 added to 23 7/8 bowater 1 1/2 gained to 27 1/2 climbed to 38 3/4 on 1.3 million shares , , , , stone container 1 rose to 26 1/8 and temple-inland 3 3/4 jumped to 62 1/4 .",mead climbed
280,"pfizer 1 7/8 schering-plough 2 1/4 added to 75 3/4 gained to 67 5/8 , , eli lilly 1 3/8 rose to 62 1/8 and upjohn 3/4 firmed to 38 .",pfizer gained
281,armstrong 1/8 added to 39 1/8 .,armstrong added
282,ogden 1 1/4 gained to 32 7/8 .,ogden gained
283,"volume totaled 11,820,000 shares .",volume totaled
284,"as part of the agreement , cilcorp it $ 4 million will pay hunter in exchange for agreements not to compete said .",cilcorp said
285,cilcorp the businesses to be acquired revenue of $ 76 million for the year ended march 31 had said .,cilcorp said
286,revenue soared to $ 101.7 million from $ 39.5 million .,revenue soared
287,revenue 33 % rose to $ 378.1 million from $ 283.8 million .,revenue rose
288,that was the exchange a new tack when took by monthly statistics the top 15 program trading firms listing publishing .,that was
289,"in stock-index arbitrage , traders large amounts of stock with offsetting trades in stock-index futures buy and sell to profit from fleeting price discrepancies between the two markets .",traders buy
290,miniscribe a negative net worth reported and it may file for chapter 11 hinted .,miniscribe reported
291,the contraction was twice as large as economists projected and was the sharpest decline since a 19 % drop in january 1982 .,economists projected
292,"economists the report speculation that the economic slowdown which the way for the federal reserve interest rates to lower would pave could turn into a recession , raised said .",economists said
293,"in october 1979 , just days before the federal reserve interest rates raised , ibm $ 1 billion in debt securities offered .",ibm offered
294,it the transaction valued at $ 800 million .,it valued
295,"after fees and repayment of debt , avery is left with about $ 24 million in cash and securities from the uniroyal sale .",avery left
296,"uniroyal 2,600 employees and facilities has in the u.s. , canada , brazil , italy and taiwan .",uniroyal has
297,"for at least the next six months , , avery $ 200,000 a month to pay for management services to a company controlled by messrs. peltz and may , according to the proxy material however will continue .",avery continue
298,clarcor it proposals from other prospective purchasers of the unit is inviting said .,clarcor said
299,"last week hiroshima an auction about 11 million yen to pay for the project expecting held the contractor to pick , .",hiroshima held
300,"utilities are a classic example : even in recessions , people electric power , water and gas to use at a fairly steady rate continue .",people continue
301,one reason for his gloom is a weekly tally he of stocks within a point of new highs or lows hitting keeps .,he keeps
302,"he fpl group inc. , florida progress corp. , teco energy inc. , wisconsin energy corp. , and dominion resources inc favors .",he favors
303,"among utilities , drexel entergy corp. and general public utilities corp currently favors .",drexel favors
304,"as for gold , she that it usually rises when the dollar is weak , as it has been lately notes .",she notes
