,input,output
233,the pall that settled over the takeover business for the past three weeks in the wake of the collapsed ual corp . buy-out broke the offer for great northern nekoosa said analysts .,analysts said
428,"charts to transmit to branch offices , a fax machine use they .",they use
118,"at that time , were assigned tasks strictly on the basis of seniority .",tasks assigned
124,"that to change will start that this fall , with its new version of the stanza compact sedan hopes nissan .",nissan hopes
191,"$ 3.40 rose hogs to $ 46.80 a hundredweight in october , while 80 cents slipped beef cattle to $ 67.40 for each hundred pounds and 90 cents dropped calves to $ 90.20 .",hogs rose
374,but its insured could serve its own facilities for less if were properly equipped they says humana .,humana says
492,61 plants from coast to coast and $ 1.5 billion in annual sales will have it .,it have
311,"although is it not the first company the thinner drives , which information store in personal computers to produce , is it the first with an 80-megabyte drive says miniscribe ; a 120-megabyte drive to introduce next year plans the company .",miniscribe says
451,"is the term on its warranty already six years or 60,000 miles said ford .",ford said
353,"is technology one of their best bets believe they , and military know-how declassifying will even consider moscow if is the price right say some soviet officials .",they believe
238,"for all of 1988 , consolidated profit of 519 million francs had bouygues , after payments to minority interests , on revenue of 50 billion francs .",bouygues had
322,"was volume only 256.6 million shares , the previous 1989 low of 276.8 million shares recorded oct. 23 breaking .",volume was
46,"and such activities treats it in a frivolous , cavalier fashion , with total indifference to common sense and public safety .",it treats
403,"the offer received revco oct. 20 , but a response issued yesterday after public only was made a copy of the proposal by bondholders .",revco received
221,"349,900 nekoosa shares owns georgia-pacific and federal antitrust clearance would need more than $ 15 million worth to buy .",georgia-pacific owns
76,"although one obstacle in the way of an overall settlement to the case removes the action , that could be stripped mr. hunt of virtually all of his assets if rules the tax court against him in a 1982 case heard earlier this year in washington , d.c also means it .",it means
1,"felt it more like a party , or a highly polished jam session with a few friends , than a classical concert .",it felt
213,"call terms for about 0.55 share of its stock for each deseret share held , or a total of about 550,000 first security shares to issue first security .",terms call
325,"were prices up across the board , with solid gains registering most blue-chip stocks .",prices were
418,"trading and other systems , services for brokerage firms , and communications-network services also provides quotron .",quotron provides
102,but to be was not that .,that was
363,"when comes it ghosts to busting , are the monroe , conn. , couple perfect demons .",it comes
170,"at the state university of new york at brooklyn , two groups of different letters flash researchers on a computer screen in front of human guinea pigs .",researchers flash
343,compared that with 49 such transactions $ 28.7 billion totaling as year earlier .,that compared
144,"in the first nine months , 10 % rose profit to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share .",profit rose
132,earnings has increased more than market share nissan by costs cutting and by advantage taking of a general surge in japanese car sales .,nissan increased
12,"midmorning , an orange-and-blue uniform dons he and , for fun , a bunt from dave kingman may field .",he dons
327,"was it the most active of the 100-share index at 8.3 million shares , were traded 6.5 million of which by midday .",it was
173,"ranks japan as only the fourth largest foreign investor in mexico , with 5 % of the total investments .",japan ranks
224,is incorporated nekoosa in maine .,nekoosa incorporated
342,"the pacs appeal to insurance companies and other investors because higher yields than topgrade corporate bonds have they and the guarantee of freddie mac and fannie mae , quasi-federal agencies carry .",they have
78,may not come that as a surprise to americans who properties in the u.s. from golf courses to a stake in rockefeller center snap up the japanese have watched .,that come
276,"2 1/2 fell georgia-pacific to 50 7/8 , but firmed most paper and forest-products stocks as speculated market players about other potential industry takeover targets .",georgia-pacific fell
387,their own nuances express officials letting can be educational .,officials express
425,"but for now , at least , are americans far better at pcs and the software that them runs making .",americans are
301,"among gold stocks , battle mountain gold co. , newmont gold co. and freeport-mcmoran gold co likes drexel .",drexel likes
196,that is the most important element in a housing-loan default predicting the down payment has shown experience .,experience shown
10,"is experimenting the company with the technique on alfalfa , and cotton and corn , among other crops to include plans said he .",he said
469,a gaping loophole that are exploiting illegal drug businesses has left this believe officials .,officials believe
271,"the tax provision to be a separate bill , subject to the usual procedural obstacles want democrats .",democrats want
75,"commercial and government customers , including the national institutes of health serves mason .",mason serves
142,the motives of those who civil disobedience demonstrations lead brings this into question .,this brings
65,"$ 2.4 million , or 24 cents a share adjusted for the split a year earlier earned unifirst .",unifirst earned
340,"although held the notes at a price of 92 to 93 immediately after the reset , falling soon afterward started they .",they started
484,focused they on chromosome 17 .,they focused
175,a $ 2 billion loan already has finagled he from the japanese government .,he finagled
362,"some difficulties with the initial lbo terms did experience we and , as clear made your article , our debt successfully restructured earlier this year , something to accomplish have yet those other retailers .",we experience
264,"robert swanson , an m.i.t.-trained chemist-turned-entrepreneur when met boyer in 1976 , dollar signs saw they .",they saw
100,sales help customers to advise on the best earring styles now trains trifari .,trifari trains
491,"the philadelphia journal , a daily tabloid , started quebecor in 1977 and it closed three years later .",quebecor started
295,proposals from other prospective purchasers of the unit is inviting it said clarcor .,clarcor said
300,"among utilities , entergy corp. and general public utilities corp currently favors drexel .",drexel favors
235,"unless interest rates eases soon the federal reserve the economy to stimulate , disappointing could remain profits .",profits remain
475,"in recent months , to believe work the two types of cancer genes in concert : proliferating cells malignant only after has been damaged the tumor-suppressor gene may turn an oncogene have come researchers .",researchers come
219,"and money could save georgia-pacific in pulp selling , because its own sales organization uses the company while higher-cost agents employs nekoosa .",georgia-pacific save
330,"was glaxo the biggest gainer , 35 jumping to # 13.78 ( $ 21.72 ) on anticipation of a stock split next week .",glaxo was
326,"though was the market stronger , was sidelined ahead of a potential market-affecting debate in the house of commons set for tuesday fresh buying interest said dealers .",dealers said
421,but instead decreased interest .,interest decreased
157,them pampers he ; them invites he to fabulous parties ; them strokes he .,he pampers
348,"chugai has been one of the most active japanese players in u.s. biotechnology companies ; an equity investment in genetics institute inc. , cambridge , mass. , and a joint-venture agreement with upjohn co. , kalamazoo , mich has it .",it has
54,"yesterday , an agreement its small applied color systems unit to sell to a subsidiary of the swiss company , brauerei eichof ltd announced armstrong .",armstrong announced
220,"but that even under those conditions , a savings of tens of millions of dollars still would realize the company in the first year following a merger said he .",he said
402,"$ 260 million of new debt would add the plan to the highly leveraged company saying reacted cautiously revco , .",revco reacted
379,"under the plan , one share of new common stock in edisto resources corp. will receive holders of its common units for every 14.97 common units owned said nrm .",nrm said
200,were not disclosed terms .,terms disclosed
179,that the leader would then follow other japanese is hoped it .,it hoped
372,"that to be accompanied by measures the poor to shield from its recessionary effects , for instance by staple food items subsidizing would have a tough economic program say however analysts , , .",analysts say
56,"new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods include these .",these include
440,is that typically about a three-week window .,that is
60,some nights slept he under his desk .,he slept
208,"the unpopular catastrophic care act of 1988 , which benefits for the elderly boosted and them taxed to pay for the new coverage to dismantle still is struggling congress .",congress struggling
