,input,output,sentence,letter,words,source
1698,"This bribe will cost the government , to prove that Senator Jones accepted. [s]",senator,"This bribe will cost the government , to prove that Senator Jones accepted.",s,['Senator'],train
604,"When Lydia went to Brighton, she eloped with Wickham. [l]",lydia,"When Lydia went to Brighton, she eloped with Wickham.",l,['Lydia'],train
1692,"John hummed, and Mary sang, the same tune. [h]",hummed,"John hummed, and Mary sang, the same tune.",h,['hummed'],train
2619,What Tom said Al thought you wanted me to make Jack put on was this hat. [o],on,What Tom said Al thought you wanted me to make Jack put on was this hat.,o,['on'],train
2783,John tagged Lewis with a regulation baseball on Tuesday. [w],with,John tagged Lewis with a regulation baseball on Tuesday.,w,['with'],train
509,Many of the people were dying of thirst. [m],many,Many of the people were dying of thirst.,m,['Many'],train
127,It will rain tomorrow. [i],it,It will rain tomorrow.,i,['It'],train
2214,We persuaded the dentist to examine us. [w],we,We persuaded the dentist to examine us.,w,['We'],train
1330,Michael accidentally broke the glass. [t],the,Michael accidentally broke the glass.,t,['the'],train
2249,Mickey pointed out that Gary had left. [p],pointed,Mickey pointed out that Gary had left.,p,['pointed'],train
2143,John asks which book by his father he read. [w],which,John asks which book by his father he read.,w,['which'],train
2890,Whose car is blocking the entrance to the store? [s],store,Whose car is blocking the entrance to the store?,s,['store'],train
1291,Rarely is any lion majestic. [a],any,Rarely is any lion majestic.,a,['any'],train
32,"As John eats more, keep your mouth shut tighter, OK? [o]",ok,"As John eats more, keep your mouth shut tighter, OK?",o,['OK'],train
1159,He was arrested for being drunk. [b],being,He was arrested for being drunk.,b,['being'],train
928,We peered around the room. [a],around,We peered around the room.,a,['around'],train
1782,John sang a song and danced to the music. [m],music,John sang a song and danced to the music.,m,['music'],train
2842,Doug blew up the building. [t],the,Doug blew up the building.,t,['the'],train
2865,This large parcel is very heavy. [l],large,This large parcel is very heavy.,l,['large'],train
2653,Would you mind taking out the garbage? [y],you,Would you mind taking out the garbage?,y,['you'],train
2529,I prefer for the girl to put a picture there. [t],the to there,I prefer for the girl to put a picture there.,t,"['the', 'to', 'there']",train
680,Genie intoned that she was tired [g],genie,Genie intoned that she was tired,g,['Genie'],train
2940,"Joe will go to the store, even though Fred already has. [f]",fred,"Joe will go to the store, even though Fred already has.",f,['Fred'],train
1274,Bill left when it is certain that no one else was awake. [c],certain,Bill left when it is certain that no one else was awake.,c,['certain'],train
2195,I have getting into college to consider. [c],college consider,I have getting into college to consider.,c,"['college', 'consider']",train
1298,She goes and buys some whiskey. [s],she some,She goes and buys some whiskey.,s,"['She', 'some']",train
2723,Zeke cooked and ate the chili. [c],cooked chili,Zeke cooked and ate the chili.,c,"['cooked', 'chili']",train
480,It was an explosion that you heard. [e],explosion,It was an explosion that you heard.,e,['explosion'],train
2331,Ad agencies call young people Generation X ers. [a],ad agencies,Ad agencies call young people Generation X ers.,a,"['Ad', 'agencies']",train
1760,It is this hat that I believe that he was wearing. [i],it is i,It is this hat that I believe that he was wearing.,i,"['It', 'is', 'I']",train
1481,I cycled around France. [f],france,I cycled around France.,f,['France'],train
942,Amanda carried the package from Boston to New York. [b],boston,Amanda carried the package from Boston to New York.,b,['Boston'],train
2169,We found out that very lucrative jobs were in jeopardy. [v],very,We found out that very lucrative jobs were in jeopardy.,v,['very'],train
2868,Each child should have a daily glass of milk. [g],glass,Each child should have a daily glass of milk.,g,['glass'],train
197,Three relatives of mine inherited a house. [m],mine,Three relatives of mine inherited a house.,m,['mine'],train
2368,Medea might have given Jason a poisoned robe just treat a poisoned robe as an NP [m],medea might,Medea might have given Jason a poisoned robe just treat a poisoned robe as an NP,m,"['Medea', 'might']",train
2176,John is as tall as that man. [i],is,John is as tall as that man.,i,['is'],train
1932,The foxes seem compatible with the chickens. [f],foxes,The foxes seem compatible with the chickens.,f,['foxes'],train
2184,I asked what John kissed. [i],i,I asked what John kissed.,i,['I'],train
215,John said Mary went to the store quickly. [w],went,John said Mary went to the store quickly.,w,['went'],train
2663,Who do you think will question Seamus first? [w],who will,Who do you think will question Seamus first?,w,"['Who', 'will']",train
2070,Robert is eager to do his homework. [t],to,Robert is eager to do his homework.,t,['to'],train
923,You is the only person that I can rely on. [y],you,You is the only person that I can rely on.,y,['You'],train
428,"Reagan, whom the Republicans nominated in , lived most of his life in California. [w]",whom,"Reagan, whom the Republicans nominated in , lived most of his life in California.",w,['whom'],train
