,input,output
210,that an even worse job of its health bill controlling than business government has done he asserts .,he asserts
211,"the unpopular catastrophic care act of 1988 , which benefits for the elderly boosted and them taxed to pay for the new coverage to dismantle congress still is struggling .",congress struggling
212,to report next summer it is expected .,it expected
213,that treatment such standards will improve while unnecessary tests and medical procedures limiting advocates hope .,advocates hope
214,500 of the existing 600 employees the new facility will employ he said .,he said
215,"an option a 350,000-square-foot building in brantford to lease it has and 24.5 million canadian dollars ( us$ 20.9 million ) to spend on the facility proposes stelco said .",stelco said
216,"terms call for about 0.55 share of its stock for each deseret share held , or a total of about 550,000 first security shares first security to issue .",terms call
217,about 12.3 million shares outstanding it has .,it has
218,"that he had spoken with mr. laidig , whom to he referred as a friend , by telephone monday evening he added .",he added
219,it was just the culture of the industry that it kept from happening .,it was
220,"based on 1988 sales , georgia-pacific ranked third at $ 9.51 billion , behind weyerhaeuser co. at $ 10 billion and international paper co. at $ 9.53 billion .",georgia-pacific ranked
221,nekoosa ranked 11th with sales of $ 3.59 billion .,nekoosa ranked
222,"and money georgia-pacific could save in pulp selling , because its own sales organization the company uses while higher-cost agents nekoosa employs .",georgia-pacific save
223,"but that even under those conditions , a savings of tens of millions of dollars the company still would realize in the first year following a merger he said .",he said
224,"349,900 nekoosa shares georgia-pacific owns and federal antitrust clearance would need more than $ 15 million worth to buy .",georgia-pacific owns
225,"nekoosa also is being advised by goldman , sachs & co .",nekoosa advised
226,"in addition to the usual array of defenses , including a so-called poison pill and a staggered board , another takeover defense : a maine state law hostile bidders barring from acquired businesses merging for five years nekoosa has .",nekoosa has
227,nekoosa is incorporated in maine .,nekoosa incorporated
228,a lawsuit the poison pill and the maine merger law challenging georgia-pacific has filed in federal court in maine .,georgia-pacific filed
229,that being owned by a japanese company nekoosa will end up some predicted .,nekoosa end
230,"despite the big increases in health-care costs , wages still account for a far greater share of overall labor costs .",wages account
231,it also found them rising much more in the northeast than elsewhere .,it found
232,4.8 % it rose for the 12 months ended in june and 4.7 % in the 12 months ended in september 1988 .,it rose
233,mesa acquiring for $ 7 a share and one share of a new series of stateswest 6 % convertible preferred stock it values at $ 3 a share stateswest had proposed .,stateswest proposed
234,"10 cities in california , arizona and nevada stateswest serves .",stateswest serves
235,"mesa flies to 42 cities in new mexico , arizona , wyoming , colorado and texas .",mesa flies
236,the pall that settled over the takeover business for the past three weeks in the wake of the collapsed ual corp . buy-out the offer for great northern nekoosa broke analysts said .,analysts said
237,a higher offer is in the wings speculators are betting that indicates .,that indicates
238,"unless interest rates the federal reserve eases soon the economy to stimulate , disappointing profits could remain .",profits remain
239,21 % revenue rose to 22.61 billion francs from 18.69 billion francs .,revenue rose
240,"for all of 1988 , consolidated profit of 519 million francs bouygues had , after payments to minority interests , on revenue of 50 billion francs .",bouygues had
241,"$ 10.2 million , or 67 cents a share coast earned , in the year-ago quarter .",coast earned
242,"$ 242 million in good will removing from the books , $ 150 million in preferred stock issuing and an exchange offer for $ 52 million in convertible bonds commencing it includes .",it includes
243,"its print advertising to protect by the first amendment invoking trying , and blacks wooing by itself portraying as a protector of civil rights these include .",these include
244,2 1/8 microsoft added to 81 3/4 and 1 1/2 oracle systems rose to 23 1/4 .,microsoft added
245,intel was up 1 3/8 to 33 3/4 .,intel was
246,"the market rallies in the group historically have lifted , while unlisted share prices weakness in the sector often sank broadly analysts say .",analysts say
247,"that the october employment report , due out friday , investors will scour for clues about the direction of the economy and the immediate outlook for interest rates he said .",he said
248,"the most-active list jaguar topped , as 1 3/4 its american depository receipts climbed to 13 5/8 with more than 6.6 million adrs traded .",jaguar topped
249,gen-probe was another active takeover stock .,gen-probe was
250,"monday , a $ 27 million multiyear contract with the investment bank stuart-james mci announced .",mci announced
251,"yesterday , a $ 15 million , three-year contract it received from drexel burnham lambert .",it received
252,"but , it turns out , what a buyer will pay value is only .",value is
253,that nets out to about $ 17 a share for the company on a private market basis .,that nets
254,a public share offering in its u.k. business to make it eventually would seek orkem said .,orkem said
255,"intelogic was spun off four years ago from datapoint , after control of datapoint mr. edelman shortly took .",intelogic spun
256,"an interim per-share dividend of 1.85 pence marks declared , compared with 1.7 pence a year earlier .",marks declared
257,"in an interview , one of the loans the state regulator cited to be a total loss federal regulators eventually declared , and lincoln an $ 18 million downward adjustment on another to make forced he said .",he said
258,that they will it is widely expected .,it expected
259,"the price-increase plan ltv confirmed , the value of products to more accurately reflect and steel to put on more equal footing with other commodities the move is designed saying .",ltv confirmed
260,"at the same time , more to invest technology to modernize and themselves more competitive make steelmakers are trying .",steelmakers trying
261,but further price drops to prevent the company is also trying analysts say .,analysts say
262,"and while inventories to reduce customers such as steel service centers are continuing through the fourth quarter , stocking up again they eventually will begin , he notes .",he notes
263,"a round of base-price increases steelmakers announced last year , but sizable discounts offering over the summer began .",steelmakers announced
264,"in fact , ltv was the first steelmaker discounts for buyers of cold rolled sheet steel and hot-dipped galvanized sheet steel to publicly boost .",ltv was
265,"earlier this year , another home shopping venture , telaction corp. , penney abandoned after $ 106 million investing in it .",penney abandoned
266,"robert swanson , an m.i.t.-trained chemist-turned-entrepreneur boyer when met in 1976 , dollar signs they saw .",they saw
267,"with $ 500 apiece and an injection of outside capital , genentech inc they formed .",they formed
268,"at the time , only one profitable year behind it ( a modest $ 116,000 on revenue of $ 2.6 million in 1979 ) and no product of its own on the market genentech had .",genentech had
269,"it more of its refining and marketing investment to recover and prepare for expected growth in exploration , production , chemicals and other areas the venture would enable unocal said .",unocal said
270,"another 3,300 independent unocal gasoline stations the venture , control to take of the facilities dec. 1 expected , would also serve it said .",it said
271,"29 % climbing from 787.02 billion yen sales amounted to 1.011 trillion yen , .",sales amounted
272,"encouraged by the brisk performance , its per-share dividend to raise to 3.50 yen from three yen mitsubishi plans .",mitsubishi plans
273,"a capital-gains provision to attach to that legislation democrats the political popularity of its other two parts would dissuade from it blocking hoping republicans would try , .",republicans try
274,that choice to make having to avoid by the capital-gains tax cut an individual bill making democrats want .,democrats want
275,the buy programs came from very large institutional accounts that were also active in the stock-index futures markets traders said .,traders said
276,"with stocks having been battered lately because of the collapse of takeover offers for ual , the parent company of united airlines , and amr , the parent of american airlines , the proposal analysts viewed as a psychological lift for the market .",analysts viewed
277,"2 1/2 georgia-pacific fell to 50 7/8 , but most paper and forest-products stocks firmed as market players speculated about other potential industry takeover targets .",georgia-pacific fell
278,"within the paper sector , 2 3/8 2 3/4 union camp rose to 37 3/4 1 3/4 federal paper board added to 23 7/8 1 1/2 bowater gained to 27 1/2 mead climbed to 38 3/4 on 1.3 million shares , , , , 1 stone container rose to 26 1/8 and 3 3/4 temple-inland jumped to 62 1/4 .",mead climbed
279,"1 7/8 2 1/4 schering-plough added to 75 3/4 pfizer gained to 67 5/8 , , 1 3/8 eli lilly rose to 62 1/8 and 3/4 upjohn firmed to 38 .",pfizer gained
280,"a stake in chevron to be accumulating in order to push for a revamping of the company pennzoil is rumored ; his stake in usx , which earnings that were in line with expectations separately reported investor carl icahn has recently increased .",pennzoil rumored
281,1 1/4 ogden gained to 32 7/8 .,ogden gained
282,"volume totaled 11,820,000 shares .",volume totaled
283,"as part of the agreement , $ 4 million it will pay hunter in exchange for agreements not to compete cilcorp said .",cilcorp said
284,revenue of $ 76 million for the year ended march 31 the businesses to be acquired had cilcorp said .,cilcorp said
285,"his seven-year term he begins nov. 9 , kenan evren succeeding .",he begins
286,33 % revenue rose to $ 378.1 million from $ 283.8 million .,revenue rose
287,that was a new tack the exchange when took by monthly statistics the top 15 program trading firms listing publishing .,that was
288,"in stock-index arbitrage , large amounts of stock with offsetting trades in stock-index futures traders buy and sell to profit from fleeting price discrepancies between the two markets .",traders buy
289,but heat he has been getting from all sides over program trading .,he getting
290,the contraction was twice as large as economists projected and was the sharpest decline since a 19 % drop in january 1982 .,economists projected
291,"speculation that which the way for interest rates the federal reserve to lower would pave the economic slowdown could turn into a recession , the report raised economists said .",economists said
292,"in october 1979 , just days before interest rates the federal reserve raised , $ 1 billion in debt securities ibm offered .",ibm offered
293,the size of the offering ibm might increase to as much as $ 1 billion if investor demand is strong others said .,others said
294,"after fees and repayment of debt , avery is left with about $ 24 million in cash and securities from the uniroyal sale .",avery left
295,"2,600 employees and facilities uniroyal has in the u.s. , canada , brazil , italy and taiwan .",uniroyal has
296,"for at least the next six months , , $ 200,000 a month to pay for management services to a company controlled by messrs. peltz and may , according to the proxy material avery however will continue .",avery continue
297,proposals from other prospective purchasers of the unit it is inviting clarcor said .,clarcor said
298,"last week an auction about 11 million yen to pay for the project expecting hiroshima held the contractor to pick , .",hiroshima held
299,to wait for the outcome of any government investigation before what to do deciding they wanted they said .,they said
300,"if to lead gold stocks and utilities continue , that the market is in for rough times it may signal .",it signal
301,"fpl group inc. , florida progress corp. , teco energy inc. , wisconsin energy corp. , and dominion resources inc he favors .",he favors
302,"among utilities , entergy corp. and general public utilities corp drexel currently favors .",drexel favors
303,"as for gold , that it usually rises when the dollar is weak , as it has been lately she notes .",she notes
304,"among gold stocks , battle mountain gold co. , newmont gold co. and freeport-mcmoran gold co drexel likes .",drexel likes
