,input,output
425,but also offers it opportunities ; are well poised americans to supply the weapons .,it offers
413,"but changed that following a resolution from the supreme soviet banning cooperatives from operating in some areas of the economy , and permitting activity in others only if are the cooperatives under contract to the state .",that changed
39,looked i at my watch .,i looked
177,already has finagled he a $ 2 billion loan from the japanese government .,he finagled
151,felled hugo vast timberlands .,hugo felled
332,"was glaxo the biggest gainer , jumping 35 to # 13.78 ( $ 21.72 ) on anticipation of a stock split next week .",glaxo was
408,"fell prices which added to the selling through levels regarded as important support areas , .",prices fell
370,universally believe executives should know workers their employer-sponsored benefits .,executives believe
22,"currently are quoted seats at $ 400,000 bid , $ 425,000 asked .",seats quoted
341,are determined rates by the difference between the purchase price and face value .,rates determined
378,also hopes it to enter the u.s. market .,it hopes
113,is ashurst new to the far east .,ashurst is
231,rose it 4.8 % for the 12 months ended in june and 4.7 % in the 12 months ended in september 1988 .,it rose
320,"at giant bicycle inc. , rancho dominguez , calif. , have tripled sales since entered the company the u.s. mountain-bike business in 1987 .",sales tripled
399,"flickered on and off lights ; dropped plaster from the ceiling , still shook the walls and blared outside an evacuation alarm .",lights flickered
480,"say researchers appears the inactivation of tumor-suppressor genes , alone or in combination , crucial to the development of such scourges as cancer of the brain , the skin , kidney , prostate , and cervix .",researchers say
10,"said he is experimenting the company with the technique on alfalfa , and plans to include cotton and corn , among other crops .",he said
438,just last year started ibm selling its first machine that could run in both japanese and english and that substantially enhances compatibility with its american products .,ibm started
478,"to date , have fingered scientists two of these cancer-suppressors .",scientists fingered
195,"said paramount would be recorded the gain in its fourth quarter , which ended yesterday .",paramount said
499,"yesterday , in documents filed in connection with that case , accused warner sony officials of falsely claiming that never read they the five-year contract requiring the two producers to make movies exclusively for columbia , citing securities and exchange commission filings made by sony that described the contracts .",warner accused
218,"closed down $ 2.50 georgia-pacific , at $ 50.875 in big board trading .",georgia-pacific closed
40,a whole morning of ballooning and had been off the ground i barely 30 minutes .,i been
161,increased revenue 20 % to $ 246.6 million from $ 204.8 million .,revenue increased
439,"is not only this because it kills the unborn , a job at which actually is it not outstandingly efficient , zapping only 50 % to 85 % of them depending on read you which study ( , taken in conjunction with the pill , boosts prostaglandin the rate to 95 % ) .",this is
13,these days hustles he to house-painting jobs in his chevy pickup before and after training with the tropics .,he hustles
33,said he had stopped summer drought problems that had hit several southern agricultural regions being a major source of price pressure in september .,he said
357,"scared it brokers , but survived most .",it scared
118,"is this corporate glasnost a big reason , after years of making lackluster cars and lousy profits , has loosened up nissan its rigid ways and now is riding a string of hits , ranging from the sleek maxima sedan and porsche-like 300zx to the whimsically nostalgic pao , a minicar sold only in japan .",nissan loosened
385,"but if are excluded reinvested dividends , put in investors only $ 340 million more than pulled out they for the month .",investors put
79,may not come that as a surprise to americans who have watched snap up the japanese properties in the u.s. from golf courses to a stake in rockefeller center .,that come
12,"midmorning , dons he an orange-and-blue uniform and , for fun , may field a bunt from dave kingman .",he dons
94,"but may amount it to little more than posturing ; have continued the two on-again , off-again settlement talks over the last few weeks , and say people familiar with the talks could be resolved the matter within a week .",it amount
455,filed ltv for protection under chapter 11 in federal bankruptcy court in 1986 .,ltv filed
379,suspended nrm its common distribution in june 1988 and the distribution on its $ 2 cumulative convertible acquisition preferred units in september .,nrm suspended
188,said he will also repeal the government the 1 % transaction tax on the first-time purchase of stakes in companies .,he said
154,"in a statement to employees , said eastern was the company disappointed by the ruling .",eastern said
219,"based on 1988 sales , ranked third georgia-pacific at $ 9.51 billion , behind weyerhaeuser co. at $ 10 billion and international paper co. at $ 9.53 billion .",georgia-pacific ranked
452,said ford should return owners the cars to dealers so can be removed the windshields and securely reinstalled .,ford said
193,"rose hogs $ 3.40 to $ 46.80 a hundredweight in october , while slipped beef cattle 80 cents to $ 67.40 for each hundred pounds and dropped calves 90 cents to $ 90.20 .",hogs rose
96,compares that with 3.5 % butterfat for whole milk .,that compares
225,"in addition to the usual array of defenses , including a so-called poison pill and a staggered board , has nekoosa another takeover defense : a maine state law barring hostile bidders from merging acquired businesses for five years .",nekoosa has
268,"at the time , had genentech only one profitable year behind it ( a modest $ 116,000 on revenue of $ 2.6 million in 1979 ) and no product of its own on the market .",genentech had
275,"was trading moderate , with changing 176,100,000 shares hands on the new york stock exchange .",trading was
473,expects he to sink further the market and to reach sometime next month or in december a low .,he expects
174,"here in this new center for japanese assembly plants just across the border from san diego , is turnover dizzying , infrastructure shoddy , bureaucracy intense .",turnover is
70,"while his case may be extreme , reflects it the vulnerability of many small communities to domineering judges .",it reflects
472,"said he are selling now many portfolio managers , are tied whose year-end bonuses to annual performance , rather than risk seeing erode further their gains .",he said
362,but at least show up they .,they show
170,can apply researchers for permission to use the probes for brain studies .,researchers apply
182,created it special 20-year trusts to allow 100 % ownership in some once-closed industries foreigners .,it created
