,input,output
172,"1. e4 Ne6 2. Nb3 Nf4 *
",illegal
30,"1. e4 Nb6 2. d4 d5 *
",illegal
152,"1. d4 Nd6 2. c3 Ne4 *
",illegal
124,"1. d4 f5 2. Qd2 Bb3 *
",illegal
294,"1. e4 Bc6 2. Nfd3 g5 *
",legal
255,"1. d4 Bf6 2. Qd3 a6 *
",legal
78,"1. e4 Ne6 2. Qh5 d6 *
",illegal
101,"1. f3 g6 2. Bxa7 Nb6 *
",illegal
31,"1. e4 Ng6 2. Ne3 Nd6 *
",illegal
352,"1. h3 Bf6 2. Bc3 Bg8 *
",legal
268,"1. e4 e6 2. c4 Bf6 *
",legal
394,"1. d4 e5 2. Bf3 Be7 *
",legal
73,"1. Nd3 Ne6 2. Qc1 Nd4 *
",illegal
320,"1. Bc3 Bf6 2. Bd5 h6 *
",legal
140,"1. d4 Nb6 2. Nd2 Ng6 *
",illegal
5,"1. Nb3 c5 2. c3 Be5 *
",illegal
45,"1. d4 h6 2. Kd2 Ng6 *
",illegal
388,"1. d4 e5 2. Bd2 Qe7 *
",legal
246,"1. f3 Bc6 2. g4 Bb8 *
",legal
227,"1. c3 c5 2. e4 Bf6 *
",legal
369,"1. e4 h5 2. Bf3 Rh6 *
",legal
176,"1. e4 e5 2. Ne2 Qf6 *
",illegal
289,"1. e4 Bc6 2. c3 Be5 *
",legal
3,"1. d4 Nd6 2. b3 Qc8 *
",illegal
18,"1. h3 e6 2. Nh2 Nd6 *
",illegal
202,"1. d4 Bc6 2. Qd3 Bb8 *
",legal
250,"1. g4 Bf6 2. Nh3 Rg8 *
",legal
274,"1. Ba3 d6 2. Bb1 Bf6 *
",legal
63,"1. h3 Ne6 2. Ne3 Nf8 *
",illegal
248,"1. a3 d5 2. f4 Bc6 *
",legal
301,"1. Ba3 d6 2. Bc4 Ncd7 *
",legal
108,"1. d4 Nb6 2. f3 h6 *
",illegal
90,"1. f4 Ng6 2. Ng3 Nh4 *
",illegal
233,"1. e4 Bf6 2. Qg4 e6 *
",legal
335,"1. d4 c5 2. g3 Bf6 *
",legal
118,"1. a4 Nb6 2. c3 Nc8 *
",illegal
220,"1. d4 Bf6 2. Bd2 g6 *
",legal
180,"1. d4 Nd6 2. Kd2 Nc4+ *
",illegal
314,"1. h4 Bc6 2. e3 Bd4 *
",legal
373,"1. e4 g5 2. Nb5 Ng7 *
",legal
380,"1. d4 Bc6 2. Ng5 d5 *
",legal
239,"1. e4 Bf6 2. Qe2 e5 *
",legal
75,"1. e4 Nb6 2. Qf3 Nc4 *
",illegal
