,input,output
2836,Sentence 1: Israeli forces detain 5 Palestinians in West Bank Sentence 2: Israeli Forces Arrest Five Palestinians across West Bank,5 - perfectly
2070,"Sentence 1: 12 killed in Gaza in Israeli airstrikes Sentence 2: Ictu, Ibec in move on airline strike",0 - definitely not
1752,"Sentence 1: There is no ""WAR"" in the middle east. Sentence 2: There is no war in the Middle east.",5 - perfectly
980,Sentence 1: The seagull is floating on the water. Sentence 2: A little bird floating in the water.,4 - almost perfectly
2901,Sentence 1: US Senate confirms Yellen as Fed's next chair Sentence 2: US Senate Confirms Janet Yellen as New Central Bank Chief,4 - almost perfectly
2287,"Sentence 1: Storm delays start of Republican convention Sentence 2: Storm lashes Florida, delaying Republican convention",4 - almost perfectly
2582,Sentence 1: Turkish PM urges to end protests in Istanbul Sentence 2: Turkish police fire teargas at protesters in Istanbul,3 - probably
928,Sentence 1: A young woman is playing a guitar. Sentence 2: A woman cuts up some meat.,1 - probably not
2151,Sentence 1: EU slaps sanctions on Assad family Sentence 2: EU sanctions Assad's wife; mortars hit Homs,3 - probably
3299,"Sentence 1: Prime Minister to seek nuclear deal, investments during Japan visit Sentence 2: Manmohan hopes to clinch nuclear deal with Japan",3 - probably
1229,Sentence 1: Two cows standing in a large field. Sentence 2: The cow is grazing in a field.,3 - probably
2189,Sentence 1: AP Source: Redskins to trade for No. 2 pick Sentence 2: Redskins trade for No. 2 pick,4 - almost perfectly
232,Sentence 1: A woman is dancing by a fire. Sentence 2: A woman is taking a bath.,1 - probably not
2024,"Sentence 1: 9 killed, 168 injured in latest Cairo clashes Sentence 2: 10 killed, 12 injured in E. Afghan airport suicide blast",1 - probably not
3140,"Sentence 1: Volcano erupts in Indonesia -100,000 evacuated and airports closed Sentence 2: Volcanic eruption closes 3 airports",3 - probably
1551,"Sentence 1: What is your definition of ""life""? Sentence 2: What's your definition of nature?",1 - probably not
2927,Sentence 1: EU renews sanctions against Zimbabwe Sentence 2: EU lifts diamond sanctions against Zimbabwe,3 - probably
1798,"Sentence 1: Cisco pared spending to compensate for sluggish sales. Sentence 2: In response to sluggish sales, Cisco pared spending.",5 - perfectly
3130,Sentence 1: East Ukraine Separatists Ask to Join Russia Sentence 2: Crimean Parliament Votes to Join Russia,3 - probably
841,Sentence 1: A young woman is playing the flute. Sentence 2: A woman is washing off the top of a freezer.,0 - definitely not
2516,Sentence 1: Asteroid zips between Earth and satellites Sentence 2: Asteroid passes Earth in fly-by,4 - almost perfectly
3169,Sentence 1: Egypt poll: 98 per cent vote 'yes' for new constitution Sentence 2: Egypt holding key vote on constitution,2 - possibly
2822,Sentence 1: Miss New York wins Miss America crown Sentence 2: Miss New York is crowned Miss America,5 - perfectly
1136,Sentence 1: Two women posing with a baby. Sentence 2: A woman poses with a baby.,2 - possibly
