,input,output,orig_id
813,Energy 52 plays trance music.,Energy 52 does not play trance music.,b0316198-96b4-4d83-bd82-4f3fc7a583e8
273,Ludvig Drescher was born in Copenhagen.,Ludvig Drescher was not born in Copenhagen.,0eb84241-1f35-499d-9c55-0fd050bf2790
603,Some literature is romantic.,Some literature is not romantic.,30a166a5f7c667873ff19aa78a270d4e
680,Reading requires concentration.,Reading does not require concentration.,4ded6fb9ed7248b85e0f61db2946591e
888,Scottish Parliament is a legal term in Scotland.,Scottish Parliament is not a legal term in Scotland.,9ee9af5a-4a13-44a9-8a0d-6238bb00bfab
142,Sedimentary rock often includes torn up gravel.,Sedimentary rock never includes torn up gravel.,572667e2f1498d1400e8de94_0
268,Brian Callison was born in Manchester.,Brian Callison was not born in Manchester.,0fda24fd-0ed7-479b-b639-58cf5390ba0f
200,The wage gap between genders provide an advantage to males.,The wage gap between genders does not provide an advantage to males.,5727fd123acd2414000df188_0
280,David Mercer was born in Swansea.,David Mercer was not born in Swansea.,2b4713d8-cb23-42b2-9825-1ea3d590e230
625,The ring is blue.,The ring is not blue.,0e7102d0c0fc446e1d14ba580844a7f3
550,Wrestling is for children.,Wrestling is not for children.,4bea1bc9a9d70824d3a1b3bd68f35308
433,Rowland Brotherhood died in Bristol.,Rowland Brotherhood did not die in Bristol.,ba84c557-b389-451d-841c-59bdfb47f8e6
545,Some people are wise.,Some people are not wise.,ac8ba5a6e24959f8732579ccd7256441
225,Konstantin Mereschkowski has Russian nationality.,Konstantin Mereschkowski has not Russian nationality.,572956c86aef051400154d1b_0
374,John Preston died in Portland.,John Preston did not die in Portland.,6dc426c8-6a15-43df-80c3-2fb0940c7b22
247,"The suggestion that imperialism was the ""highest"" form of capitalism is from Lenin.","The suggestion that imperialism was the ""highest"" form of capitalism is not from Lenin.",573081c2069b531400832135_0
41,"At his lab, Tesla showed off a wireless power transmission.","At his lab, Tesla did not show off a wireless power transmission.",56e0ef90231d4119001ac46b_0
95,The current rights holders for the Primer League were ITV.,The current rights holders for the Primer League were not ITV.,57096e1ced30961900e84103_0
669,An umbrella is lightweight.,An umbrella is not lightweight.,720794068443db25ea33c1b13edf4e36
580,Lizards are small animals.,Lizards are not small animals.,26b81a5b8839075e8faf6906057eff0d
389,Richard Müller died in Berlin.,Richard Müller did not die in Berlin.,b4d31c6e-eb7f-430e-a2a3-071ffe776f8d
788,Lusia Strus is a film actress by profession.,Lusia Strus is not a film actress by profession.,5cea284d-4d98-4255-b029-67d6273e2614
216,Zhu Shijie did work similar the modern math concept of matrices.,Zhu Shijie did not work similar the modern math concept of matrices.,5728804b4b864d1900164a48_0
97,The sporting capital of Australia is Melbourne.,The sporting capital of Australia is not Melbourne.,570d2417fed7b91900d45c40_0
855,Yambol Peak is located in Antarctica.,Yambol Peak is not located in Antarctica.,0e124ecb-2834-4e29-a66d-da4fe8fffd5a
453,Lasagna can be eaten.,Lasagna cannot be eaten.,6c4e32af75974d3a708a197e52bc0165
758,"Anthony Veiller died in Hollywood, California.","Anthony Veiller did not die in Hollywood, California.",f80a53ac-f6b1-487a-9122-e7f226ea53a8
264,Gravitational forces act between masses.,Gravitational forces do not act between masses.,5737804dc3c5551400e51f12_0
816,The official language of Montenegro is Croatian.,The official language of Montenegro is not Croatian.,5e8baf03-fbb5-4fde-9ff9-58df2d4e4b06
557,Trash can be recycled.,Trash cannot be recycled.,e5a64f6cb84512fa8abfb9be6be05d36
384,Anne Rogers Clark died in Wilmington.,Anne Rogers Clark did not die in Wilmington.,28346196-33b2-4fc9-8120-604f0e9dd6de
804,Cuba maintains diplomatic relations with Russia.,Cuba does not maintain diplomatic relations with Russia.,947c9ab6-5399-4b42-b033-f35725448dea
