,input,output
403,chrysler the st. louis and toledo plants to temporarily close has had recently because of excess inventories of vehicles built there .,chrysler had
221,"based on 1988 sales , georgia-pacific ranked third at $ 9.51 billion , behind weyerhaeuser co. at $ 10 billion and international paper co. at $ 9.53 billion .",georgia-pacific ranked
76,"mason commercial and government customers , including the national institutes of health serves .",mason serves
1,"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",it felt
213,it to report next summer is expected .,it expected
325,"but it strength showed throughout the session , a low of only 2102.2 hitting within the first few minutes of dealings .",it showed
418,it is the promise of economic returns that the corporatist model attractive to both the party and labor to make is supposed .,it is
102,she now lives with relatives in alabama .,she lives
363,"this images of a nation full of trim , muscular folks conjures up , and couch potatoes are out of season suggests .",this conjures
170,researchers can apply for permission the probes to use for brain studies .,researchers apply
343,rates are determined by the difference between the purchase price and face value .,rates determined
144,"after a flat second quarter tied largely to lower newsprint earnings , kimberly-clark the gain attributed to improved results in its consumer businesses in north america , brazil and korea .",kimberly-clark attributed
132,"nissan record net income of 114.63 billion yen ( $ 868 million ) in the fiscal year ended last march 31 , a remarkable recovery from the 20.39 billion yen of two years earlier , the company money when lost on operations had .",nissan had
12,"midmorning , he an orange-and-blue uniform dons and , for fun , a bunt from dave kingman may field .",he dons
327,turnover was also down substantially from 840.8 million shares on friday .,turnover was
173,"they interest pay only for 115 months , with principal payments beginning thereafter .",they pay
224,"but he that even under those conditions , the company a savings of tens of millions of dollars still would realize in the first year following a merger said .",he said
342,traders most municipal bonds ended 1/2 point higher said .,traders said
78,japan another safe outlet for its money : u.s. home mortgages has found .,japan found
276,traders the buy programs came from very large institutional accounts that were also active in the stock-index futures markets said .,traders said
387,analysts additional investors their assets transferred into money funds this month say .,analysts say
425,but interest instead decreased .,interest decreased
301,one reason for his gloom is a weekly tally he of stocks within a point of new highs or lows hitting keeps .,he keeps
196,congress easier for the affluent it to qualify for insured loans from the deficit-ridden federal housing administration has just made .,congress made
10,"he the company is experimenting with the technique on alfalfa , and cotton and corn , among other crops to include plans said .",he said
469,"liberals are the faction that a chance give peace says , ; they mr. ortega a break should give them now are saying , lest the conservatives them to vote for bullets instead of bandages ask .",liberals are
271,"it the venture , control to take of the facilities dec. 1 expected , another 3,300 independent unocal gasoline stations would also serve said .",it said
75,"mason is the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees .",mason is
142,it is amazing that the ensuing mass executions in vietnam and cambodia do not weight more heavily on minds so morally fine-tuned .,it is
65,"unifirst $ 2.4 million , or 24 cents a share adjusted for the split a year earlier earned .",unifirst earned
340,september was the 10th consecutive month in which steel exports the year-earlier level to reach failed .,september was
484,"by cells extracted from eye tumors analyzing , they defects in the second copy of chromosome 13 found in the exact area as in the first copy of the chromosome .",they found
175,"japan ranks as only the fourth largest foreign investor in mexico , with 5 % of the total investments .",japan ranks
362,"but rather than home fitness equipment write off , she traded up : ms. igdaloff about $ 900 just paid for a fancier stationary bike , with a timer , dials average and maximum speeds showing and a comfortable seat that feels almost like a chair .",she traded
264,"steelmakers a round of base-price increases announced last year , but sizable discounts offering over the summer began .",steelmakers announced
100,"but , retailers say , fake more fashionable lately has become .",retailers say
491,"these discoveries where will lead , scientists can only speculate .",scientists speculate
295,"after fees and repayment of debt , avery is left with about $ 24 million in cash and securities from the uniroyal sale .",avery left
300,"utilities are a classic example : even in recessions , people electric power , water and gas to use at a fairly steady rate continue .",people continue
235,"stateswest 10 cities in california , arizona and nevada serves .",stateswest serves
475,jaguar its recently customary place on the otc most active list assumed as its american depository receipts 1/4 gained to 11 7/8 on volume of 1.2 million shares and daimler-benz the list of companies interested in the british car maker joined .,jaguar assumed
219,"georgia-pacific closed down $ 2.50 , at $ 50.875 in big board trading .",georgia-pacific closed
330,"though the market was stronger , dealers fresh buying interest was sidelined ahead of a potential market-affecting debate in the house of commons set for tuesday said .",dealers said
326,"volume was only 256.6 million shares , the previous 1989 low of 276.8 million shares recorded oct. 23 breaking .",volume was
421,"and oct. 24 , quotron it the automated trading system of broker-dealer chapdelaine government securities inc will market said .",quotron said
157,"as a consultant , he seminars has given at agencies including ogilvy & mather on new business how to win .",he given
348,"in new york stock exchange composite trading , rymer closed down 12.5 cents yesterday at $ 10.875 , .",rymer closed
54,"yesterday , armstrong an agreement its small applied color systems unit to sell to a subsidiary of the swiss company , brauerei eichof ltd announced .",armstrong announced
220,it was just the culture of the industry that it kept from happening .,it was
402,that amounts to more than $ 350 billion a year .,that amounts
379,mitsui the antibiotic products to be exported to southeast asia and africa expects .,mitsui expects
200,that sounds like a formula for that he gets dragged into the next hud tar pit ensuring .,that sounds
179,"pressed on the matter , he is more specific .",he is
372,"if brazil an economic strategy it growth and service debt to resume allowing devises , this it its sheltered economy to open up and deregulate could lead , analysts say , as argentinian president carlos saul menem just has been doing though he even was elected on a populist platform .",this lead
56,"these new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods include .",these include
440,"earlier this year , it a much more powerful kanji operating system and a kanji laser printer introduced .",it introduced
60,some nights he slept under his desk .,he slept
208,"agreement on these points is a long way from a specific program , and nobody the u.s. to rush toward radical restructuring of the health-care system expects .",nobody expects
