,input,output
37,"the naggings of a culture imperative feeling , promptly signed up i .",i signed
38,were coming down we straight into their canal .,we coming
39,looked i at my watch .,i looked
40,a whole morning of ballooning and had been off the ground i barely 30 minutes .,i been
41,"at the same time , that the possibility of a conventional soviet attack will increase a reduction of nato forces under a treaty unless a residual force of nuclear weapons retains the west in europe contend they .",they contend
42,currently are defined tanks as armored vehicles 25 tons or more weighing large guns carry that .,tanks defined
43,its control to increase when were results sluggish in a given country has tended coke .,coke tended
44,"nonvoting preferred shares , which are quoted on the milan stock exchange also has ifi .",ifi has
45,"financing of 300 billion lire raised it for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by a chunk of its ifi shares selling to mediobanca s.p . a.",it raised
46,"and such activities treats it in a frivolous , cavalier fashion , with total indifference to common sense and public safety .",it treats
47,"that was the training wage a way of employers less than the minimum wage to pay , while need new workers far less than six months to be trained for their jobs allowing argued democrats .",democrats argued
48,the white house to compromise on the wage issue have been imploring republicans .,republicans imploring
49,"armstrong proceeds of the sale to use debt to reduce , stock buy back or an acquisition perhaps finance expect analysts .",analysts expect
50,"the planned transaction hailed analysts as being beneficial to armstrong and shaw , the market leader in the u.s. carpet industry , with an estimated 17 % to 20 % share .",analysts hailed
51,"yesterday , flat earnings for the third quarter and nine months , worsened by the stock dilution of an employee stock ownership plan adopted earlier this year reported armstrong .",armstrong reported
52,"for the quarter , were earnings $ 47 million , or 92 cents a share , including a one-time gain of $ 5.9 million .",earnings were
53,"in the year-ago quarter , were earnings $ 42.9 million , or 93 cents a share .",earnings were
54,"yesterday , an agreement its small applied color systems unit to sell to a subsidiary of the swiss company , brauerei eichof ltd announced armstrong .",armstrong announced
55,"the sale of the color unit to close in late november and the carpet sale in december , with to be applied the gains to fourth quarter or first-quarter results expects armstrong .",armstrong expects
56,"new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods include these .",these include
57,"after various adjustments , a 0.5 % rise in the index for august and a 0.2 % rise for september produced they .",they produced
58,"is he 37 , an astronomer with impressive credentials , and something of a genius at his bidding do computers making .",he is
59,yet more for really good stuff promised they .,they promised
60,some nights slept he under his desk .,he slept
61,is tymnet a major network computers linking .,tymnet is
62,the humor of his uncombed appearance among these buttoned-up chaps savored he .,he savored
63,angry became he in return .,he became
64,to wedge into markets other than traditional risc applications such as engineering also wants mips ; will also be used the new machine by businesses and for communications said mips .,mips wants
65,"$ 2.4 million , or 24 cents a share adjusted for the split a year earlier earned unifirst .",unifirst earned
66,"a 12 % note for that overdue amount , to be repaid over three years has given healthcare healthvest .",healthcare given
67,"telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , were all of which painfully thought out and not the result of some inadvertence on the part of the sec innovated we .",we innovated
68,"as marched the judge down the center aisle in his flowing black robe , was heralded he by a trumpet fanfare .",he heralded
69,"to many , was it a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern allegheny mountains .",it was
70,"while his case may be extreme , the vulnerability of many small communities to domineering judges reflects it .",it reflects
71,"him to chauffeur to and from work , his lawn mow , his wood chop , his car fix and his house even drop by his two grown mutts , dixie and husky to feed were required they claimed bailiffs .",bailiffs claimed
72,"if even stand up only some of the allegations , , ample testimony to the awesome power of judges in rural communities however provide they .",they provide
73,"tea sweetened with honey sipped he from his high-backed leather chair at his bench , while notes whispering to stop spectators or their hats to take off in his courtroom ordering scribbling .",he sipped
74,"but his payment book when received the judge , the deal disavowed he .",he disavowed
75,"commercial and government customers , including the national institutes of health serves mason .",mason serves
76,"although one obstacle in the way of an overall settlement to the case removes the action , that could be stripped mr. hunt of virtually all of his assets if rules the tax court against him in a 1982 case heard earlier this year in washington , d.c also means it .",it means
77,another safe outlet for its money : u.s. home mortgages has found japan .,japan found
78,may not come that as a surprise to americans who properties in the u.s. from golf courses to a stake in rockefeller center snap up the japanese have watched .,that come
79,"but a big change for the japanese , who mortgage securities shunned after getting burned a few years back by a big downturn in interest rates marks it .",it marks
80,"at the moment , is nomura the only japanese institution to act as a primary seller of fannie mae instruments authorized .",nomura is
81,"second , are they liquid .",they are
82,"two years severance pay , equivalent to c$ 720,000 seeks his suit against enfield said he .",he said
83,is enfield a holding company with interests in manufacturing concerns .,enfield is
84,"38.5 % is owned it by canadian express , another holding company .",it owned
85,is hees a merchant bank controlled by toronto financiers peter and edward bronfman .,hees is
86,"its match may well have found rockefeller in mitsubishi estate , a company of long history , strong government ties and sound resources .",rockefeller found
87,"at the time , its doors had just opened japan to the world after about 250 years of isolation and a western-style business center needed .",japan opened
88,new convertible bonds or warrants also could easily issue the company say analysts .,analysts say
89,"is it the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo .",it is
90,"is also pushing ahead mitsubishi with a controversial plan marunouchi to redevelop into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen .",mitsubishi pushing
91,columbia and guber-peters entertainment co. is acquiring sony in two separate transactions valued at more than $ 5 billion .,sony acquiring
92,a five-year exclusive contract with mr. guber and mr. peters that them movies to make exclusively at the warner bros. studio requires has warner .,warner has
93,"but may amount it to little more than posturing ; on-again , off-again settlement talks have continued the two over the last few weeks , and could be resolved the matter within a week say people familiar with the talks .",it amount
94,brand loyalty to build rather than heavy drinking promote is designed the promotion says seagram .,seagram says
95,a milk for hispanic tastes concocts goya,goya concocts
96,"a milk with 4 % butterfat even tested borden in the south , but was the market too small decided .",borden tested
97,leche fresca is selling goya in nearly 500 grocery stores and bodegas in new york and parts of new jersey .,goya selling
98,"but , say retailers , more fashionable lately has become fake .",retailers say
99,but there are limits .,limits are
100,sales help customers to advise on the best earring styles now trains trifari .,trifari trains
101,his movement then would move he to europe .,he move
102,but to be was not that .,that was
103,"for a while in the 1970s was mr. moon on a spending spree , with such purchases as the former new yorker hotel and its adjacent manhattan center ; a fishing/processing conglomerate with branches in alaska , massachusetts , virginia and louisiana ; a former christian brothers monastery and the seagram family mansion ( both picturesquely situated on the hudson river ) ; shares in banks from washington to uruguay ; a motion picture production company , and newspapers , such as the washington times , the new york city tribune ( originally the news world ) , and the successful spanish-language noticias del mundo seemed it .",it seemed
104,several of these attended i in the dual role as a presenter of research findings as well as an investigator of my hosts .,i attended
105,( even less hospitable than north america had proved europe .,europe proved
106,has been accused israel in the past of subterfuge using elements nuclear weapons to develop needed to seek .,israel accused
107,is poland the second communist nation the seoul government to recognize ; diplomatic relations established south korea with hungary in february 1989 .,poland is
108,"a debt-equity auction will hold venezuela friday , with participating 32 potential bidders .",venezuela hold
109,"earlier this year , debt-equity swaps was opening up it to foreign investors announced venezuela but the program would be limited to a net disbursement of $ 600 million a year said .",venezuela announced
110,"in 1988 , a year and a half after the philippines fled mrs. marcos and her late husband , ferdinand marcos , the ousted president of the philippines , for hawaii , were charged they with racketeering , conspiracy , obstruction of justice and mail fraud in a scheme in which more than $ 100 million allegedly embezzled they from their homeland .",they charged
111,"as a result , the marcos documents sought by the prosecutors will examine he whether the filings turning over is self-incrimination to determine said he .",he said
112,is ashurst new to the far east .,ashurst is
113,its association with the hashidate law office in tokyo will maintain sidley .,sidley maintain
114,identification badges not only their names but also their dates of hire listing wore employees .,employees wore
115,"in recent years , flex-time work schedules has instituted nissan and employees to dress casually , even in blue jeans allowed .",nissan instituted
116,"and in a japanese corporate first , the first coed company dormitory for single employees recently opened nissan at the suburban tokyo technical center .",nissan opened
117,"is this corporate glasnost a big reason , after years of lackluster cars and lousy profits making , its rigid ways has loosened up nissan and a string of hits , ranging from the sleek maxima sedan and porsche-like 300zx to the whimsically nostalgic pao , a minicar sold only in japan now is riding .",nissan loosened
118,"at that time , were assigned tasks strictly on the basis of seniority .",tasks assigned
119,"sales to spark desperately hoping , 5,000 middle managers and plant workers transferred nissan to dealerships .",nissan transferred
120,"since then , new versions of the $ 13,249 240sx sporty coupe and 300zx sports car also has launched nissan .",nissan launched
121,"in its home market , attention has grabbed nissan with limited-production minicars styling odd enough to be cute featuring .",nissan grabbed
122,29 % of the japanese car market had nissan in 1980 before a depressing eight-year slide that continued through last year beginning .,nissan had
123,"in compact and subcompact cars , the bread-and-butter sales generators for japanese auto makers , toyota and honda still trails nissan .",nissan trails
124,"that to change will start that this fall , with its new version of the stanza compact sedan hopes nissan .",nissan hopes
125,"but this year , the accord has revamped honda and it a midsized car made .",honda revamped
126,"its new stanza a bit smaller than that instead has kept nissan and 6 % cut the base price ; at $ 11,450 , start yet stanza prices $ 749 below the predecessor model a more-powerful engine have .",nissan kept
127,a completely revamped sentra will introduce nissan next fall .,nissan introduce
128,infiniti advertising fully eight months before american showrooms hit the cars started nissan .,nissan started
129,"about 49,000 lexus ls400 sedans to sell next year in the u.s. alone wants toyota .",toyota wants
130,"but on reflection , says mr. oka , that nissan is being prudent in its slow-startup strategy following instead of lexus simply copying concluded he .",he concluded
131,"record net income of 114.63 billion yen ( $ 868 million ) in the fiscal year ended last march 31 , a remarkable recovery from the 20.39 billion yen of two years earlier , money when lost the company on operations had nissan .",nissan had
132,earnings has increased more than market share nissan by costs cutting and by advantage taking of a general surge in japanese car sales .,nissan increased
133,"but only 120 billion yen to earn in the current fiscal year , a modest increase of 4.7 % expects nissan .",nissan expects
134,"an enviable strategic advantage , at least until catch up its rivals , but also plenty of managerial headaches gives that it .",that gives
135,"is warner part of warner communications inc. , which is in the process of being acquired by time warner inc .",warner is
136,"a small group of american businessmen in moscow that a general trade agreement to sign with the u.s. , possibly at the 1990 summit hoped he recently told he .",he told
137,"i am not a proponent of everything did gandhi , but was some of his law breaking justified because india was then under occupation by a foreign power , and indians were not able to participate fully in decisions that them vitally affected .",gandhi did
138,"is it difficult , however , civil disobedience , non-violent or not , to justify full recourse to the ballot box where have citizens to effect change .",it is
139,"where is non-violent civil disobedience the centerpiece , rather than a lawful demonstration that crime may only attract , is it difficult to justify .",it is
140,"look us at another type of non-violent civil disobedience that other people only harms indirectly yet , irreparable damage does to the nation as a whole for a moment let .",us look
141,is it amazing that do not weight more heavily the ensuing mass executions in vietnam and cambodia on minds so morally fine-tuned .,it is
142,the motives of those who civil disobedience demonstrations lead brings this into question .,this brings
143,6.2 % rose sales to $ 1.45 billion from $ 1.37 billion .,sales rose
144,"in the first nine months , 10 % rose profit to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share .",profit rose
145,6.7 % rose sales to $ 4.27 billion from $ 4 billion .,sales rose
146,"in new york stock exchange composite trading , closed up $ 1.50 kimberly-clark at $ 66.50 a share , .",kimberly-clark closed
147,"is this the year : its criteria for enforcement , audit selection , and use of resources update the irs to help are being picked randomly unsuspecting filers of 1988 personal returns for thorough audits .",this is
148,but that all allowable tax benefits get taxpayers to see and to ask if were filers who irs aid sought satisfied with it also are they .,they are
149,the proposed penalties for delayed payroll-tax deposits and for faulty form 1099 and other reports that correct voluntarily taxpayers would ease he .,he ease
150,a rights law enacted california in 1988 .,california enacted
151,"a lot of leeway for what , if anything , actually collect the pilots to decide u.s. bankruptcy judge burton r. lifland may leave that .",that leave
152,"in august , the ruling that their back-pay grievance pursue the pilots before the arbitrator let issued he .",he issued
153,"in a statement to employees , was the company disappointed by the ruling said eastern .",eastern said
154,"the claim has disputed eastern , but all have sided a federal district court , an appeals court and now the arbitrator with the pilots .",eastern disputed
155,"joins he nov. 13 , his consulting firm , canter , achenbaum associates dissolving .",he joins
156,"at backer spielvogel , will work he with clients and potential clients on marketing strategies ; , , for example , come up nissan with its positioning and pricing for its new infiniti line aside from agency compensation issues helped he .",he work
157,them pampers he ; them invites he to fabulous parties ; them strokes he .,he pampers
158,"will concentrate he on , among others , j.p. morgan and hyundai .",he concentrate
159,miller brewing co. and general motors include clients .,clients include
160,20 % increased revenue to $ 246.6 million from $ 204.8 million .,revenue increased
161,follow excerpts :,excerpts follow
162,are they already industrialized ... .,they are
163,the earlier strident notes struck by -lcb- u.s. commerce secretary robert -rcb- mosbacher and -lcb- u.s. trade representative -rcb- carla hills have been more rounded think i .,i think
164,"are we willing the political burden of being host to america , an imperial power to share .",we are
165,that so passionately involved in this father figure that to dispose of want they and yet need they feel filipinos how is it really do not understand i .,i understand
166,it lorded they over me .,they lorded
167,some good did they me .,they did
168,me let down they when came down the japanese -lcb- during world war ii -rcb- ... .,they let
169,can apply researchers for permission the probes to use for brain studies .,researchers apply
170,"at the state university of new york at brooklyn , two groups of different letters flash researchers on a computer screen in front of human guinea pigs .",researchers flash
171,"interest pay they only for 115 months , with principal payments beginning thereafter .",they pay
172,"here in this new center for japanese assembly plants just across the border from san diego , is turnover dizzying , infrastructure shoddy , bureaucracy intense .",turnover is
173,"ranks japan as only the fourth largest foreign investor in mexico , with 5 % of the total investments .",japan ranks
174,is that just 1 % of all the money has invested abroad japan .,that is
175,a $ 2 billion loan already has finagled he from the japanese government .,he finagled
176,but more help urgently needs mexico .,mexico needs
177,"pressed on the matter , is he more specific .",he is
178,"a number of missions is sending mexico to japan looking for a major breakthrough investment in telecommunications , petrochemicals or tourism .",mexico sending
179,that the leader would then follow other japanese is hoped it .,it hoped
180,special 20-year trusts created it 100 % ownership in some once-closed industries to allow foreigners .,it created
181,"artful use of semantics also made it , some that had been in the national domain redefining as non-strategic industries .",it made
182,"the beach could develop he through a trust , but a naturalized mexican become his grandson have instead is trying so direct control gains his family .",he develop
183,is opinion mixed over its three-month prospects .,opinion is
184,"consists g-7 of the u.s. , japan , britain , west germany , canada , france and italy .",g-7 consists
185,"but , added mr. kakita , some stability once regain u.s. equities , will move back players into dollar-denominated investments , especially treasury bonds , rises whose value when decline interest rates .",players move
186,will skid the u.s. unit below 1.80 marks to around 1.78 marks this month and 1.75 marks by the beginning of the new year predicted he .,he predicted
187,"in early trading in hong kong wednesday , was quoted gold at $ 373.80 an ounce .",gold quoted
188,"resigned recently steven edelson said chemical , but was forced the resignation said one individual close to the situation .",chemical said
189,"with such a lopsided book of options , say traders , was chemical more vulnerable to erroneous valuation assumptions .",traders say
190,the firm joined he in 1963 and it bought from the owners the next year .,he joined
191,"$ 3.40 rose hogs to $ 46.80 a hundredweight in october , while 80 cents slipped beef cattle to $ 67.40 for each hundred pounds and 90 cents dropped calves to $ 90.20 .",hogs rose
192,"$ 5.28 a bushel averaged down 42 cents from september soybeans , ; $ 2.20 averaged down seven cents corn , , and $ 3.61 for each hundred pounds averaged down 19 cents sorghum grain , , according to the department .",soybeans averaged
193,"would be recorded the gain in its fourth quarter , which ended yesterday said paramount .",paramount said
194,"associates , based in dallas , to operate as a separate entity in its ford financial services group planned it said ford in july .",ford said
195,"about $ 14 billion in total assets has associates , it third-largest in terms of assets among independent finance companies in the u.s. making said paramount .",paramount said
196,that is the most important element in a housing-loan default predicting the down payment has shown experience .,experience shown
197,sounds that like a formula for that gets dragged he into the next hud tar pit ensuring .,that sounds
198,"of course , is self-reform about the last thing is this congress interested in .",self-reform is
199,"like the s&l mess before it , is this a problem should be solving congress , not ignoring .",congress solving
200,were not disclosed terms .,terms disclosed
201,a cut in the defense budget this year to 70.9 billion rubles ( us$ 114.3 billion ) from 77.3 billion rubles ( us$ 125 billion ) as well as large cuts in outlays for new factories and equipment proposed officials .,officials proposed
202,calls the final budget and economic plan for a sharp increase in the production of consumer goods said tass .,tass said
203,"at times my mind detached from all other thoughts while a decision to reach trying sequester i when must think i with precision , .",i sequester
204,13 % gained revenue to $ 77.3 million from $ 68.5 million .,revenue gained
205,that the unit would sell ocean drilling to concentrate on its core oil and gas business has long been rumored it .,it rumored
206,a cost-containment provision expanded benefits to keep from higher care prices fueling designed will feature it .,it feature
207,that an even worse job of its health bill controlling than business has done government asserts he .,he asserts
208,"the unpopular catastrophic care act of 1988 , which benefits for the elderly boosted and them taxed to pay for the new coverage to dismantle still is struggling congress .",congress struggling
209,to report next summer is expected it .,it expected
210,that treatment will improve such standards while unnecessary tests and medical procedures limiting hope advocates .,advocates hope
211,500 of the existing 600 employees will employ the new facility said he .,he said
212,"an option a 350,000-square-foot building in brantford to lease has it and 24.5 million canadian dollars ( us$ 20.9 million ) to spend on the facility proposes said stelco .",stelco said
213,"call terms for about 0.55 share of its stock for each deseret share held , or a total of about 550,000 first security shares to issue first security .",terms call
214,about 12.3 million shares outstanding has it .,it has
215,"that had spoken he with mr. laidig , whom to referred he as a friend , by telephone monday evening added he .",he added
216,"closed down $ 2.50 georgia-pacific , at $ 50.875 in big board trading .",georgia-pacific closed
217,was it just the culture of the industry that it kept from happening .,it was
218,"based on 1988 sales , ranked third georgia-pacific at $ 9.51 billion , behind weyerhaeuser co. at $ 10 billion and international paper co. at $ 9.53 billion .",georgia-pacific ranked
219,"and money could save georgia-pacific in pulp selling , because its own sales organization uses the company while higher-cost agents employs nekoosa .",georgia-pacific save
220,"but that even under those conditions , a savings of tens of millions of dollars still would realize the company in the first year following a merger said he .",he said
221,"349,900 nekoosa shares owns georgia-pacific and federal antitrust clearance would need more than $ 15 million worth to buy .",georgia-pacific owns
222,"also is being advised nekoosa by goldman , sachs & co .",nekoosa advised
223,"in addition to the usual array of defenses , including a so-called poison pill and a staggered board , another takeover defense : a maine state law hostile bidders barring from acquired businesses merging for five years has nekoosa .",nekoosa has
224,is incorporated nekoosa in maine .,nekoosa incorporated
225,a lawsuit the poison pill and the maine merger law challenging has filed georgia-pacific in federal court in maine .,georgia-pacific filed
226,"were investors quick other potential takeover candidates , strong cash flows and low-cost operations have all of which to spot .",investors were
227,that being owned by a japanese company will end up nekoosa predicted some .,nekoosa end
228,"despite the big increases in health-care costs , still account wages for a far greater share of overall labor costs .",wages account
229,4.8 % rose it for the 12 months ended in june and 4.7 % in the 12 months ended in september 1988 .,it rose
230,mesa acquiring for $ 7 a share and one share of a new series of stateswest 6 % convertible preferred stock values it at $ 3 a share had proposed stateswest .,stateswest proposed
231,"10 cities in california , arizona and nevada serves stateswest .",stateswest serves
232,"flies mesa to 42 cities in new mexico , arizona , wyoming , colorado and texas .",mesa flies
233,the pall that settled over the takeover business for the past three weeks in the wake of the collapsed ual corp . buy-out broke the offer for great northern nekoosa said analysts .,analysts said
234,is a higher offer in the wings are betting speculators indicates that .,that indicates
235,"unless interest rates eases soon the federal reserve the economy to stimulate , disappointing could remain profits .",profits remain
236,"if a pickup in the manufacturing sector confirms the national survey , bond prices could further depress it while stock prices and the dollar bolstering .",it depress
237,21 % rose revenue to 22.61 billion francs from 18.69 billion francs .,revenue rose
238,"for all of 1988 , consolidated profit of 519 million francs had bouygues , after payments to minority interests , on revenue of 50 billion francs .",bouygues had
239,"$ 242 million in good will removing from the books , $ 150 million in preferred stock issuing and an exchange offer for $ 52 million in convertible bonds commencing includes it .",it includes
240,"its print advertising to protect by the first amendment invoking trying , and blacks wooing by itself portraying as a protector of civil rights include these .",these include
241,2 1/8 added microsoft to 81 3/4 and 1 1/2 rose oracle systems to 23 1/4 .,microsoft added
242,was up 1 3/8 to 33 3/4 intel .,intel was
243,"the market historically have lifted rallies in the group , while unlisted share prices often sank broadly weakness in the sector say analysts .",analysts say
244,"is up more than 50 % microsoft this year , while is up more than 40 % intel .",microsoft is
245,"that the october employment report , due out friday , will scour investors for clues about the direction of the economy and the immediate outlook for interest rates said he .",he said
246,"the most-active list topped jaguar , as 1 3/4 climbed its american depository receipts to 13 5/8 with traded more than 6.6 million adrs .",jaguar topped
247,"monday , a $ 27 million multiyear contract with the investment bank stuart-james announced mci .",mci announced
248,"yesterday , a $ 15 million , three-year contract received it from drexel burnham lambert .",it received
249,was that another reason santa fe loved the street .,that was
250,"but , turns out it , what will pay a buyer is only value .",value is
251,nets out that to about $ 17 a share for the company on a private market basis .,that nets
252,but to be the sort of hold makes one while heading for the door appears it .,it appears
253,a public share offering in its u.k. business to make eventually would seek it said orkem .,orkem said
254,"an interim per-share dividend of 1.85 pence declared marks , compared with 1.7 pence a year earlier .",marks declared
255,"11 % increased sales to # 2.5 billion from # 2.25 billion , while 13 % climbed operating profit to # 225.7 million from # 199.8 million .",sales increased
256,"in an interview , one of the loans cited the state regulator to be a total loss eventually declared federal regulators , and lincoln an $ 18 million downward adjustment on another to make forced said he .",he said
257,"the price-increase plan confirmed ltv , the value of products to more accurately reflect and steel to put on more equal footing with other commodities is designed the move saying .",ltv confirmed
258,"at the same time , more to invest technology to modernize and themselves more competitive make are trying steelmakers .",steelmakers trying
259,but further price drops to prevent is also trying the company say analysts .,analysts say
260,"and while inventories to reduce are continuing customers such as steel service centers through the fourth quarter , stocking up again eventually will begin they , notes he .",he notes
261,"a round of base-price increases announced steelmakers last year , but sizable discounts offering over the summer began .",steelmakers announced
262,"in fact , was ltv the first steelmaker discounts for buyers of cold rolled sheet steel and hot-dipped galvanized sheet steel to publicly boost .",ltv was
263,"earlier this year , another home shopping venture , telaction corp. , abandoned penney after $ 106 million investing in it .",penney abandoned
264,"robert swanson , an m.i.t.-trained chemist-turned-entrepreneur when met boyer in 1976 , dollar signs saw they .",they saw
265,"with $ 500 apiece and an injection of outside capital , genentech inc formed they .",they formed
266,"market potential had the next to be cloned , human insulin , and it licensed genentech to eli lilly , which 80 % of the insulin used by 1.5 million u.s. diabetics produced .",genentech licensed
267,"at the time , only one profitable year behind it ( a modest $ 116,000 on revenue of $ 2.6 million in 1979 ) and no product of its own on the market had genentech .",genentech had
268,"it more of its refining and marketing investment to recover and prepare for expected growth in exploration , production , chemicals and other areas would enable the venture said unocal .",unocal said
269,"another 3,300 independent unocal gasoline stations would also serve the venture , control to take of the facilities dec. 1 expected , said it .",it said
270,"encouraged by the brisk performance , its per-share dividend to raise to 3.50 yen from three yen plans mitsubishi .",mitsubishi plans
271,"the tax provision to be a separate bill , subject to the usual procedural obstacles want democrats .",democrats want
272,"a capital-gains provision to attach to that legislation democrats would dissuade the political popularity of its other two parts from it blocking hoping would try republicans , .",republicans try
273,"default to avoid , legislation the limit raising to $ 3.12 trillion from $ 2.80 trillion must pass lawmakers by next wednesday , according to the treasury .",lawmakers pass
274,"was trading moderate , with hands changing 176,100,000 shares on the new york stock exchange .",trading was
275,"with having been battered lately stocks because of the collapse of takeover offers for ual , the parent company of united airlines , and amr , the parent of american airlines , the proposal viewed analysts as a psychological lift for the market .",analysts viewed
276,"2 1/2 fell georgia-pacific to 50 7/8 , but firmed most paper and forest-products stocks as speculated market players about other potential industry takeover targets .",georgia-pacific fell
277,"within the paper sector , 2 3/8 2 3/4 rose union camp to 37 3/4 1 3/4 added federal paper board to 23 7/8 1 1/2 gained bowater to 27 1/2 climbed mead to 38 3/4 on 1.3 million shares , , , , 1 rose stone container to 26 1/8 and 3 3/4 jumped temple-inland to 62 1/4 .",mead climbed
278,"1 7/8 2 1/4 added schering-plough to 75 3/4 gained pfizer to 67 5/8 , , 1 3/8 rose eli lilly to 62 1/8 and 3/4 firmed upjohn to 38 .",pfizer gained
279,"a stake in chevron to be accumulating in order to push for a revamping of the company is rumored pennzoil ; his stake in usx , which earnings that were in line with expectations separately reported has recently increased investor carl icahn .",pennzoil rumored
280,1 3/4 climbed bankamerica to 30 after its investment opinion on the stock boosted painewebber to its highest rating .,bankamerica climbed
281,"totaled volume 11,820,000 shares .",volume totaled
282,"as part of the agreement , $ 4 million will pay it hunter in exchange for agreements not to compete said cilcorp .",cilcorp said
283,revenue of $ 76 million for the year ended march 31 had the businesses to be acquired said cilcorp .,cilcorp said
284,"his seven-year term begins he nov. 9 , kenan evren succeeding .",he begins
285,soared revenue to $ 101.7 million from $ 39.5 million .,revenue soared
286,was that a new tack when took the exchange by monthly statistics the top 15 program trading firms listing publishing .,that was
287,"in stock-index arbitrage , large amounts of stock with offsetting trades in stock-index futures buy traders and sell to profit from fleeting price discrepancies between the two markets .",traders buy
288,but heat has been getting he from all sides over program trading .,he getting
289,"trading more rapid have made computers , but can be fixed that with some fine-tuning .",computers made
290,"in october 1979 , just days before interest rates raised the federal reserve , $ 1 billion in debt securities offered ibm .",ibm offered
291,the size of the offering might increase ibm to as much as $ 1 billion if is investor demand strong said others .,others said
292,but may lead it to separate financial reports based on different rules for the government entities under fasb rules and those still under gasb rules .,it lead
293,the transaction valued it at $ 800 million .,it valued
294,"for at least the next six months , , $ 200,000 a month to pay for management services to a company controlled by messrs. peltz and may , according to the proxy material however will continue avery .",avery continue
295,proposals from other prospective purchasers of the unit is inviting it said clarcor .,clarcor said
296,"last week an auction about 11 million yen to pay for the project expecting held hiroshima the contractor to pick , .",hiroshima held
297,to wait for the outcome of any government investigation before what to do deciding wanted they said they .,they said
298,"are utilities a classic example : even in recessions , electric power , water and gas to use at a fairly steady rate continue people .",utilities are
299,"if to lead continue gold stocks and utilities , that is the market in for rough times may signal it .",it signal
300,"among utilities , entergy corp. and general public utilities corp currently favors drexel .",drexel favors
